element_type,ep_next,ep_this,event_points,form,id,now_cost,points_per_game,selected_by_percent,status,team,team_code,total_points,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,creativity_rank,threat_rank,ict_index_rank,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,position,goal_involvements,money_value,performance
MID,0.0,0.0,0,0.0,95,5.3,3.0,0.1,d,Brentford,94,9,0.0,1.7,Jensen,238,0,1,0,3,0,0,0,1,0,0,1,39,38.8,84.8,5.0,12.9,3,0.10,0.46,0.56,4.17,272,96,315,230,0.04,0.0,0.17,0.21,1.58,1.13,1.13,0.0,Midfielder,1.0,1.6981132075471699,0.43999999999999995
DEF,0.0,0.0,0,0.0,96,4.0,0.0,0.2,a,Brentford,94,0,0.0,0.0,Ji-soo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,490,474,433,494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,0.0,0.0,0.0
MID,0.8,0.8,1,0.8,97,4.5,1.0,0.1,a,Brentford,94,3,0.2,0.7,Konak,17,0,0,0,2,0,0,0,0,0,0,0,4,1.2,1.5,3.0,0.4,0,0.15,0.00,0.15,0.78,411,363,329,409,0.79,0.0,0.0,0.79,4.13,10.59,0.0,0.0,Midfielder,0.0,0.6666666666666666,-0.15
MID,3.2,3.2,5,3.2,98,5.0,2.4,0.1,a,Brentford,94,17,0.6,3.4,Lewis-Potter,456,0,2,0,11,0,0,0,1,0,0,0,75,101.0,73.4,105.0,27.9,5,0.36,0.68,1.04,10.92,132,111,63,84,0.07,0.0,0.13,0.2,2.16,2.17,0.99,0.0,Midfielder,2.0,3.4,0.96
MID,6.8,6.8,8,6.8,99,7.5,7.3,26.8,a,Brentford,94,51,0.9,6.8,Mbeumo,629,6,0,0,13,0,0,0,2,0,0,9,213,270.6,229.3,206.0,70.7,7,2.85,1.98,4.83,13.12,7,14,18,5,0.41,0.0,0.28,0.69,1.88,1.86,1.0,0.0,Midfielder,6.0,6.8,1.17
DEF,0.0,0.0,0,0.0,100,4.3,1.0,0.5,a,Brentford,94,1,0.0,0.2,Mee,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.1,0.0,0.0,0,0.00,0.00,0.0,0.00,496,395,442,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,0.0,0.23255813953488372,0.0
MID,2.2,2.2,7,2.2,101,4.8,2.8,0.1,a,Brentford,94,14,0.5,2.9,Nørgaard,436,1,0,0,8,0,0,0,1,0,0,0,96,108.6,54.0,56.0,21.9,5,0.76,0.08,0.84,8.26,119,149,124,131,0.16,0.0,0.02,0.18,1.71,1.65,1.03,0.0,Midfielder,1.0,2.916666666666667,0.16000000000000003
DEF,2.8,2.8,7,2.8,104,4.5,1.9,0.5,a,Brentford,94,13,0.6,2.9,Pinnock,630,1,0,0,13,1,0,0,1,0,0,0,60,174.0,4.3,128.0,30.7,7,0.42,0.06,0.48,13.12,32,337,49,71,0.06,0.0,0.01,0.07,1.87,1.86,1.0,0.0,Defender,1.0,2.888888888888889,0.52
DEF,0.8,0.8,1,0.8,105,4.4,1.2,0.1,a,Brentford,94,7,0.2,1.6,Roerslev,261,0,0,0,6,0,0,0,0,0,0,0,6,25.0,15.7,9.0,5.0,2,0.01,0.18,0.19,6.33,301,276,273,318,0.0,0.0,0.06,0.06,2.18,2.07,0.69,0.0,Defender,0.0,1.5909090909090908,-0.19
MID,1.2,1.2,2,1.2,106,5.3,2.0,0.1,a,Brentford,94,14,0.2,2.6,Schade,371,0,1,1,5,0,0,0,0,0,0,0,41,44.8,28.6,106.0,18.1,4,0.96,0.05,1.01,5.25,246,228,62,172,0.23,0.0,0.01,0.24,1.27,1.21,0.97,0.24,Midfielder,1.0,2.6415094339622645,-0.010000000000000009
