can_transact,can_select,element_type,ep_next,ep_this,event_points,form,id,news,news_added,now_cost,photo,points_per_game,removed,selected_by_percent,status,team,team_code,total_points,value_form,value_season,web_name,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,creativity_rank,threat_rank,ict_index_rank,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,position,goal_involvements,money_value,performance,next_match,next_3_FDRs,next_3_avg_FDRs,next_3,next_5_FDRs,next_5_avg_FDRs,next_5,FPL_ID,fbref_id,Understat_ID,transfermarkt,league_id,season_id,player_id,xg,np_goals,np_xg,xa,shots,key_passes,xg_chain,xg_buildup
True,True,MID,4.0,4.5,2,4.0,633,,2025-01-27T01:00:09.275216Z,6.0,https://resources.premierleague.com/premierleague/photos/players/250x250/p195384.png,3.0,False,0.7,a,Arsenal,3,54,0.7,9.0,Merino,2024-08-27,1996-06-22,False,p195384,870,4,1,2,10,0,0,0,2,0,0,4,207,272.8,156.9,284.0,71.3,9,3.30,0.80,4.1,8.37,0,0,0,0,0,0,0,186,178,80,147,,,,0.34,0.0,0.08,0.42,0.87,1.03,0.93,0.21,Midfielder,5.0,9.0,0.9,"[""Nott'm Forest"", 'Away']","[4, 3, 4]",3.67,"[""Nott'm Forest"", 'Man Utd', 'Chelsea']","[4, 3, 4, 3, 3]",3.4,"[""Nott'm Forest"", 'Man Utd', 'Chelsea', 'Fulham', 'Everton']",633,d080ed5e,5304,338424,1,2024,5304,4.49,4,4.49,0.97,20,10,6.91,4.24
True,True,MID,1.0,0.4,1,1.0,28,,2025-02-21T15:00:08.865618Z,6.2,https://resources.premierleague.com/premierleague/photos/players/250x250/p215711.png,2.1,False,0.8,a,Aston Villa,7,45,0.2,7.3,Bailey,2021-08-04,1997-08-09,False,p215711,1041,1,2,2,16,0,0,0,2,0,0,2,166,140.8,232.4,307.0,67.8,13,1.57,2.87,4.44,11.66,0,0,0,0,0,0,0,305,129,71,154,3.0,4.0,,0.14,0.0,0.25,0.39,1.01,1.38,1.12,0.17,Midfielder,3.0,7.26,-1.44,"['Crystal Palace', 'Away']","[3, 3]",3.0,"['Crystal Palace', 'Brentford']","[3, 3, 3, 3]",3.0,"['Crystal Palace', 'Brentford', 'Brighton', ""Nott'm Forest""]",28,3a233281,5221,387626,1,2024,5221,2.66,1,2.66,2.37,25,16,6.15,2.28
True,True,MID,0.0,0.0,0,0.0,29,Calf injury - 25% chance of playing,2025-01-11T01:30:08.379812Z,5.2,https://resources.premierleague.com/premierleague/photos/players/250x250/p88894.png,2.5,False,0.2,d,Aston Villa,7,40,0.0,7.7,Barkley,2024-07-01,1993-12-05,False,p88894,544,3,1,1,9,0,0,0,3,0,0,5,150,203.4,115.5,185.0,50.3,3,1.68,0.41,2.09,5.36,0,0,0,0,0,0,0,248,231,132,221,,,,0.28,0.0,0.07,0.35,0.89,1.49,0.5,0.17,Midfielder,4.0,7.69,1.91,"['Crystal Palace', 'Away']","[3, 3]",3.0,"['Crystal Palace', 'Brentford']","[3, 3, 3, 3]",3.0,"['Crystal Palace', 'Brentford', 'Brighton', ""Nott'm Forest""]",29,3a24769f,592,131978,1,2024,592,2.04,3,2.04,0.89,14,8,4.46,3.06
True,False,MID,0.0,0.0,0,0.2,31,Loaned to Bayer Leverkusen,2025-02-03T10:22:17.157838Z,5.1,https://resources.premierleague.com/premierleague/photos/players/250x250/p195546.png,0.9,False,0.1,u,Aston Villa,7,11,0.0,2.2,Buendia,2021-06-10,,False,p195546,89,0,0,0,2,0,0,0,1,0,0,0,37,16.4,23.2,16.0,5.2,0,0.65,0.03,0.68,2.27,0,0,0,0,0,0,0,461,383,373,447,,3.0,,0.66,0.0,0.03,0.69,2.3,2.02,0.0,0.0,Midfielder,0.0,2.16,-0.68,"['Crystal Palace', 'Away']","[3, 3]",3.0,"['Crystal Palace', 'Brentford']","[3, 3, 3, 3]",3.0,"['Crystal Palace', 'Brentford', 'Brighton', ""Nott'm Forest""]",31,66b76d44,2203,321247,1,2024,2203,0.82,0,0.82,0.05,5,1,0.96,0.22
True,True,MID,0.0,0.0,0,1.2,42,Hamstring injury - Expected back 08 Mar,2025-02-18T22:00:09.222622Z,5.0,https://resources.premierleague.com/premierleague/photos/players/250x250/p226944.png,1.8,False,0.0,i,Aston Villa,7,29,0.2,5.8,Kamara,2022-06-11,1999-11-23,False,p226944,1048,0,0,2,18,0,0,0,2,0,0,1,173,207.0,106.6,34.0,34.9,13,0.27,0.31,0.58,14.68,0,0,0,0,0,0,0,243,239,325,282,,,,0.02,0.0,0.03,0.05,1.26,1.55,1.12,0.17,Midfielder,0.0,5.8,-0.58,"['Crystal Palace', 'Away']","[3, 3]",3.0,"['Crystal Palace', 'Brentford']","[3, 3, 3, 3]",3.0,"['Crystal Palace', 'Brentford', 'Brighton', ""Nott'm Forest""]",42,cc77354e,5789,394327,1,2024,5789,0.22,0,0.22,0.3,5,6,3.92,3.59
True,True,MID,1.4,0.9,1,1.4,48,,2025-01-04T19:30:07.992156Z,5.2,https://resources.premierleague.com/premierleague/photos/players/250x250/p122806.png,2.1,False,0.7,a,Aston Villa,7,49,0.3,9.4,McGinn,2018-08-08,1994-10-18,False,p122806,1625,0,3,3,28,0,0,0,5,0,0,1,231,163.6,371.1,168.0,70.2,20,2.01,2.12,4.13,24.47,0,0,0,0,0,0,0,274,66,150,149,,,,0.11,0.0,0.12,0.23,1.36,1.55,1.11,0.17,Midfielder,3.0,9.42,-1.13,"['Crystal Palace', 'Away']","[3, 3]",3.0,"['Crystal Palace', 'Brentford']","[3, 3, 3, 3]",3.0,"['Crystal Palace', 'Brentford', 'Brighton', ""Nott'm Forest""]",48,90f91999,7723,193116,1,2024,7723,2.7,0,2.7,2.51,22,22,8.97,5.57
True,True,MID,2.8,2.3,1,2.8,53,,2024-11-10T23:00:07.265497Z,5.4,https://resources.premierleague.com/premierleague/photos/players/250x250/p232653.png,2.3,False,0.5,a,Aston Villa,7,44,0.5,8.1,Ramsey,2019-02-12,2001-05-28,False,p232653,1111,1,2,1,21,0,0,0,1,0,0,3,191,173.6,189.2,170.0,53.6,13,1.19,1.68,2.87,17.14,0,0,0,0,0,0,0,265,158,146,209,,,,0.1,0.0,0.14,0.24,1.39,1.7,1.05,0.08,Midfielder,3.0,8.15,0.13,"['Crystal Palace', 'Away']","[3, 3]",3.0,"['Crystal Palace', 'Brentford']","[3, 3, 3, 3]",3.0,"['Crystal Palace', 'Brentford', 'Brighton', ""Nott'm Forest""]",53,1544f145,8941,503749,1,2024,8941,1.07,1,1.07,2.08,13,12,6.72,4.26
True,True,MID,1.2,1.1,2,1.6,54,Knock - 75% chance of playing,2025-02-22T21:30:09.096177Z,5.7,https://resources.premierleague.com/premierleague/photos/players/250x250/p244850.png,4.0,False,26.4,d,Aston Villa,7,103,0.3,18.1,Rogers,2024-02-01,2002-07-26,False,p244850,2157,6,5,4,32,0,0,0,8,0,0,11,331,454.6,497.3,503.0,145.6,26,4.54,3.41,7.95,30.63,0,0,0,0,0,0,0,76,36,37,31,,,,0.19,0.0,0.14,0.33,1.28,1.34,1.08,0.17,Midfielder,11.0,18.07,3.05,"['Crystal Palace', 'Away']","[3, 3]",3.0,"['Crystal Palace', 'Brentford']","[3, 3, 3, 3]",3.0,"['Crystal Palace', 'Brentford', 'Brighton', ""Nott'm Forest""]",54,2e5915f1,12412,503743,1,2024,12412,5.92,6,5.92,4.79,43,35,14.71,6.87
True,True,MID,3.4,2.9,2,3.4,57,,,5.5,https://resources.premierleague.com/premierleague/photos/players/250x250/p166989.png,3.0,False,1.3,a,Aston Villa,7,80,0.6,14.5,Tielemans,2023-06-14,1997-05-07,False,p166989,2311,2,4,3,36,0,0,1,4,0,0,9,508,574.4,773.7,176.0,152.5,27,2.39,4.93,7.32,31.76,0,0,0,0,0,0,0,34,5,141,25,1.0,,2.0,0.09,0.0,0.19,0.28,1.24,1.4,1.05,0.12,Midfielder,6.0,14.55,-1.32,"['Crystal Palace', 'Away']","[3, 3]",3.0,"['Crystal Palace', 'Brentford']","[3, 3, 3, 3]",3.0,"['Crystal Palace', 'Brentford', 'Brighton', ""Nott'm Forest""]",57,56f7a928,5956,249565,1,2024,5956,2.6,2,1.84,5.82,26,48,15.31,12.05
True,True,MID,0.0,0.0,0,0.2,233,Unknown - Expected back 08 Mar,2025-02-14T15:00:07.725990Z,4.8,https://resources.premierleague.com/premierleague/photos/players/250x250/p449871.png,2.4,False,2.2,i,Aston Villa,7,41,0.0,8.5,Onana,2024-07-22,2001-08-16,False,p449871,1078,2,0,2,21,0,0,0,4,0,0,5,199,229.2,107.2,180.0,51.8,14,1.85,0.25,2.1,17.71,0,0,0,0,0,0,0,222,238,136,214,,,,0.15,0.0,0.02,0.17,1.48,1.75,1.17,0.17,Midfielder,2.0,8.54,-0.1,"['Crystal Palace', 'Away']","[3, 3]",3.0,"['Crystal Palace', 'Brentford']","[3, 3, 3, 3]",3.0,"['Crystal Palace', 'Brentford', 'Brighton', ""Nott'm Forest""]",233,828657ff,9667,485706,1,2024,9667,2.43,2,2.43,0.15,14,5,4.43,4.08
