FPL_ID,fbref_id,Understat_ID,transfermarkt
510,3f2587ee,6397,282823
511,8b3ab7ad,11926,401356
512,ac05f970,531,104124
513,2f965a72,2310,120629
514,79c84d1c,1776,314875
515,beb391dd,3278,234781
516,fdf3cb77,8965,157672
517,4f974391,534,92571
518,69fdb896,10845,506189
519,123d2733,12474,697280
520,e0bc6fdc,1245,181778
521,9328b835,706,29692
522,96cf7b61,8776,61697
523,07802f7f,986,134294
524,d0f72bf1,7332,525247
525,b62878a5,12027,543499
526,b7672d43,13026,991800
527,9b6f7fd5,7365,444523
528,00963611,6722,415912
529,288e1e13,6935,361914
530,6613c819,8288,283628
531,3515d404,843,181579
532,ce4246f5,935,157509
533,9b398aea,6674,578391
534,999ceb5f,8119,649020
535,10f0fdd3,7762,450050
536,68db6358,11361,136401
537,dc6c2f02,10327,695454
538,34721c11,12234,724783
539,a2852b4f,12532,1043634
540,cc3b8e78,8179,532541
541,dc62b55d,7080,517894
542,3e9e06cb,804,121477
543,d557d734,6852,171679
544,5526deb1,8496,433183
545,e7aa9d7c,8778,505653
546,00b77ecf,11210,863741
547,7e5bebeb,12047,1060740
548,e6bc67d7,5682,225122
549,bfc3b3a0,10140,698678
550,169fd162,8845,292246
551,bd8a5d95,10755,503975
552,9a71e978,8351,485583
553,8b57ad2c,11384,735570
554,903b6e8b,9740,249994
555,15f24fe7,8812,369567
556,5791b997,12245,215810
557,2b471f99,1299,170934
558,1e159d70,9958,716276
559,d04b94db,6163,231572
560,7ba2eaa9,6382,487465
562,7fcc71d8,8291,256977
563,8dcf77c0,12756,667121
564,edc98fac,10945,438001
565,9744ff80,2199,74230
566,f553b2b3,11070,429983
567,f0caab96,10293,606718
568,99aa1a84,7027,371021
569,19f4d211,9415,665390
570,bceda5ff,12911,864121
571,fe6e7156,11735,743591
572,6763f716,10564,923831
573,bee704fc,6174,413507
575,64796fe0,12837,746833
576,b1be9fc0,12774,430310
577,37dc1a48,9752,513245
578,aded8e6f,8129,502821
579,6aa3e78b,6837,392775
580,87278bce,11943,890290
581,0107757e,9272,585323
582,25f2ef01,12014,711544
583,4dc4f138,8905,146509
584,57827369,11815,426192
585,bfdb33aa,5675,410225
586,0abc51f2,8489,494880
587,df04eb4b,9492,474701
588,34e393f2,8267,342385
589,4f16405e,6098,75489
590,7b355808,9556,609556
591,88f130ed,6816,605184
592,8f4541c2,11745,513970
593,d6e53a3a,7902,326031
594,b74277a0,10696,340456
595,ae9b998d,11310,700106
596,4d77e622,12766,663244
597,5dff6c28,12272,890721
598,bca5c4a7,10025,645686
599,d8edc4be,10748,582078
600,f173303a,11385,667287
601,c4720845,11193,724537
602,732327ae,11146,874538
603,de59e609,12757,1107733
604,86109b3b,12410,1011131
605,e0eea46f,11164,992686
607,91ca4a16,11592,743413
608,bdcc89ae,10586,866655
609,92df535b,13127,879768
610,00953a9d,12603,1011147
611,39944392,12752,292139
612,35516eac,10822,743498
613,4f9091bc,12461,654253
614,5c2595e2,12269,855890
615,810912d5,12760,646353
616,7be10897,10167,714458
617,6f3cc2fe,12963,711337
618,c64c01fc,6937,538977
619,928a4a61,10301,468066
620,2d3417a1,13021,745191
621,8aafd64f,7892,462250
622,d0b6129f,8285,333014
623,ef491564,12948,880245
624,7b4de647,694,33873
625,819b3158,314,53622
626,c066d1a5,9619,649452
627,82e2cc75,12946,856479
630,1d042188,8756,401320
631,e16932d8,13019,559794
632,788c0277,11719,392591
633,d080ed5e,5304,338424
635,f7042636,13020,654982
636,b0f7e36c,1433,341092
637,dcd94cdb,11775,955253
638,b85c3273,10351,559330
639,d1a2e006,13011,848753
640,a42f6058,11393,646710
641,be18d79f,11394,555074
642,ec604e2c,13022,800176
643,cd4b2c5f,11409,845321
644,8e526344,12454,943560
645,6c2b66fc,13038,747009
646,6a10efb3,13039,1047256
647,49375cdd,11033,860078
648,5c368c88,12568,888639
649,07382f6c,13067,954104
650,277c49ed,8853,434224
651,a572e291,6088,289592
652,c9817014,11766,476701
653,0f41e2ee,13068,673492
654,fed17f5a,2478,372246
655,8a310070,13092,742451
656,91c75917,11240,887433
657,7be4311f,13081,903189
658,64e17fab,13080,1078163
659,6b15cf32,13082,964561
660,12bb4d6a,13103,486604
661,4cccbed1,13104,979064
662,676cf55d,13115,964554
663,8218e831,11571,565846
664,039c3d96,13117,821522
665,3a686640,11272,638964
666,c80f8c9d,13130,1047261
667,38a6c944,13150,1011140
668,4352b7be,13170,745716
669,fd08a24b,11028,706815
670,7b47100c,12559,1011738
671,b6db05c3,12427,983702
672,383b10fd,13185,942497
674,8a3ddcd2,10053,470596
675,c19a2df1,10005,576121
676,6baa90d0,13203,1004679
677,242e5e6d,12358,922563
678,b2010f35,13204,1018716
679,cdf9e86a,13221,985544
680,ed46ab76,11365,939615
681,1a28b886,13219,701021
682,3354ea94,13220,1065227
683,d6455444,13224,985546
684,3478fa17,13225,1108465
685,a4a51de9,13238,854930
686,9a85a651,13247,1107726
687,ba31eee2,13242,854721
688,1d3b3d77,12203,1045123
689,d2fe0b0b,13249,1108475
690,2835bfe1,13250,1026524
691,30416cc3,13259,1184841
692,398a24f6,12534,1108049
693,fd1c27b8,13258,741228
694,0b6dfc4f,13273,866651
695,301ba71e,13286,906214
696,e6f7797e,12573,936874
697,b7e62e1d,12535,1004708
698,92868cb5,11242,670848
699,ac1ef440,12193,796300
700,b00671f2,13287,1047342
701,40aaa04c,12296,845809
702,8eab81d9,13300,963879
703,5383979b,13298,843595
704,d5837248,13299,1080903
705,093f0923,12533,1144158
706,c103921a,13306,933017
707,1db75ccb,13307,1089802
708,b495353c,13304,867710
709,003cf4d1,12455,939290
710,1e711234,13310,954105
711,58469e7c,12500,1115502
712,cfed08d5,13344,994604
714,916728da,13364,996897
715,9f7c837d,7689,343475
716,b38ac6a4,13348,725912
717,fe3db176,13362,1004327
720,75f1ed80,10856,683895
721,76eca7e2,509,45494
722,2093823e,11301,963878
723,54778940,11300,936901
724,74c0903d,13345,922695
725,116c35df,9749,326029
726,beb6e3a6,12782,592975
727,9d316492,12582,983248
728,2f5fa231,13351,777308
729,d3a6f5a3,13363,999745
732,d17ce930,11763,763079
755,0e0102eb,8393,445939
