,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
187,True,True,100.0,100.0,110735,0,0,-2,2,0,2,1.1,1.1,0,Adam,1.6,147,False,,2024-12-23T14:30:07.986462Z,43,110735.jpg,1.5,False,Webster,0.1,False,,a,5,36,9,4458,57,11350,50,0.4,2.1,Webster,241.0,2019-08-03,False,p110735,165,0,0,1,4,0,0,0,0,0,0,0,42,45.2,4.7,21.0,7.0,3,0.02,0.07,0.09,4.41,0,0,0,0,0,0,0,389,137,429,150,346,115,410,136,,,,,,,0.01,0.0,0.04,0.05,2.41,2.18,552,116,210,63,341,111,507,178,1.64,0.55
188,True,True,100.0,100.0,50175,0,0,0,0,1,4,0.7,0.7,1,Danny,1.2,148,False,,2024-12-16T09:30:06.558564Z,55,50175.jpg,4.2,False,Welbeck,5.6,False,,a,5,36,75,3748877,1041,3576955,4828,0.2,13.6,Welbeck,241.0,2020-10-18,False,p50175,1353,6,2,5,23,0,0,0,2,0,0,13,271,306.0,193.0,416.0,91.5,16,6.05,0.48,6.53,25.34,0,0,0,0,0,0,0,148,18,142,16,45,19,89,19,,,1.0,,3.0,,0.4,0.0,0.03,0.43,1.69,1.53,103,29,261,29,43,12,65,14,1.06,0.33
189,True,True,0.0,0.0,467779,0,0,-3,3,0,3,0.0,0.0,0,Mats,0.0,149,False,Thigh injury - Unknown return date,2024-12-21T22:00:08.030972Z,47,467779.jpg,2.2,False,Wieffer,0.1,False,,i,5,36,28,16217,6,20968,69,0.0,6.0,Wieffer,152.0,2024-07-06,False,p467779,464,1,2,1,12,0,0,0,2,0,0,3,104,144.0,80.3,57.0,27.8,4,0.50,0.18,0.68,9.70,0,0,0,0,0,0,0,284,125,260,161,267,146,300,149,,,,,,,0.1,0.0,0.03,0.13,1.88,2.33,335,217,680,281,239,103,525,197,0.78,0.19
190,True,True,100.0,100.0,513433,0,0,-1,1,0,3,-0.1,-0.1,0,Brajan,0.4,595,False,,2025-01-24T00:00:10.185786Z,54,513433.jpg,1.3,False,Gruda,0.0,False,,a,5,36,14,1793,15,4346,28,0.1,2.6,Gruda,80.0,2024-08-14,False,p513433,362,0,0,1,9,0,0,0,0,0,0,0,51,57.8,128.7,90.0,27.6,5,0.27,0.50,0.77,6.30,0,0,0,0,0,0,0,376,175,201,128,217,125,303,151,,,,,,,0.07,0.0,0.12,0.19,1.57,2.24,140,84,358,171,386,185,619,249,1.24,0.25
191,True,True,75.0,100.0,509416,0,0,0,0,0,3,1.0,1.3,0,Yasin,1.8,600,False,Muscle injury - 75% chance of playing,2025-02-01T22:30:08.709133Z,50,509416.jpg,1.8,False,Ayari,0.0,False,,d,5,36,36,5629,10,5419,77,0.4,7.2,Ayari,206.0,2023-01-30,False,p509416,1264,0,0,5,15,0,0,0,3,0,0,0,187,193.6,318.9,161.0,67.3,14,1.45,1.29,2.74,18.98,0,0,0,0,0,0,0,244,107,72,56,139,89,136,78,3.0,,,,,,0.1,0.0,0.09,0.19,1.35,1.07,226,142,196,83,307,139,580,227,1.0,0.36
194,True,True,100.0,100.0,463067,0,0,-4,4,1,3,2.7,2.7,2,Georginio,3.2,618,False,,2025-01-12T22:30:09.270999Z,51,463067.jpg,3.1,False,Rutter,0.5,False,,a,5,36,72,325598,214,287341,977,0.6,14.1,Georginio,73.0,2024-08-19,False,p463067,1262,4,4,4,25,0,0,0,2,0,0,1,222,265.0,206.6,327.0,78.7,14,3.40,1.32,4.72,23.67,0,0,0,0,0,0,0,176,72,135,95,60,38,109,66,,,,,,,0.24,0.0,0.09,0.33,1.69,1.78,183,111,99,43,121,54,262,80,1.0,0.29
195,True,True,0.0,0.0,231416,0,0,-1,1,0,2,0.0,0.0,0,Ferdi,0.0,628,False,Toe Injury - Unknown return date,2024-11-10T01:30:09.967684Z,44,231416.jpg,3.2,False,Kadioglu,0.1,False,,i,5,36,19,73841,4,70456,122,0.0,4.3,F.Kadıoğlu,219.0,2024-08-27,False,p231416,385,1,0,2,8,0,0,0,1,0,0,0,59,116.4,83.7,40.0,24.0,5,0.44,0.31,0.75,9.44,0,0,0,0,0,0,0,309,112,254,70,292,92,317,102,,,,,,,0.1,0.0,0.07,0.17,2.21,1.87,505,100,570,223,113,29,458,159,1.17,0.47
196,True,True,100.0,100.0,219249,0,0,0,0,0,3,1.3,1.3,1,Matt,1.8,629,False,,2025-01-24T00:00:10.254189Z,55,219249.jpg,2.2,False,O'Riley,0.0,False,,a,5,36,24,17327,26,15019,110,0.3,4.4,O'Riley,58.0,2024-08-26,False,p219249,462,1,1,2,11,1,0,0,1,0,0,2,112,105.4,156.5,113.0,37.5,5,1.15,1.24,2.39,7.80,0,0,0,0,0,0,0,325,150,174,115,192,114,254,129,1.0,,,,,,0.22,0.0,0.24,0.46,1.52,2.14,111,69,201,87,252,111,553,213,0.97,0.39
201,True,True,100.0,100.0,514254,0,0,0,0,0,3,0.0,0.0,1,Diego,0.5,714,False,,2025-01-09T16:30:09.168224Z,55,514254.jpg,1.0,False,Gómez,0.0,False,,a,5,36,2,589,30,300,37,0.1,0.4,Gómez,168.0,2025-01-01,False,p514254,46,0,0,0,4,0,0,0,0,0,0,0,14,7.6,3.9,0.0,1.1,0,0.00,0.02,0.02,2.42,0,0,0,0,0,0,0,470,221,436,222,754,325,484,228,,,,,,,0.0,0.0,0.04,0.04,4.73,7.83,120,73,338,164,483,225,703,295,0.0,0.0
206,True,True,0.0,0.0,242880,0,0,-3,3,0,2,0.0,0.0,0,Benoît,0.0,153,False,Unknown - Expected back 14 Feb,2024-12-16T10:30:07.655172Z,42,242880.jpg,1.2,False,Badiashile,0.1,False,,i,6,8,5,11997,3,21103,39,0.0,1.2,B.Badiashile,73.0,2023-01-05,False,p242880,247,0,0,0,4,0,0,0,0,0,0,0,22,48.2,8.8,0.0,5.7,2,0.00,0.06,0.06,4.63,0,0,0,0,0,0,0,387,135,421,145,573,226,426,146,,,,,,,0.0,0.0,0.02,0.02,1.69,1.46,595,150,540,203,390,128,478,166,0.73,0.0
209,True,True,,,486672,0,0,-1,1,0,3,1.7,1.7,0,Moisés,1.2,157,False,,,49,486672.jpg,2.7,False,Caicedo Corozo,1.1,False,,a,6,8,61,272948,634,250709,1452,0.2,12.4,Caicedo,62.0,2023-08-14,False,p486672,2035,1,3,5,29,0,0,0,6,0,0,2,383,407.2,368.8,63.0,83.9,23,0.55,1.66,2.21,31.76,0,0,0,0,0,0,0,91,31,60,46,262,145,101,60,,,,,,,0.02,0.0,0.07,0.09,1.4,1.28,274,177,256,120,157,64,198,57,1.02,0.22
211,True,True,100.0,100.0,180736,0,0,-1,1,4,2,2.3,2.3,0,Trevoh,1.8,159,False,,2025-01-02T10:30:08.548907Z,44,180736.jpg,4.5,False,Chalobah,1.3,False,,a,6,8,63,230676,1930,120033,1458,0.4,14.3,Chalobah,241.0,2018-02-16,False,p180736,1240,3,1,3,17,0,0,0,1,0,0,8,252,364.2,85.8,160.0,61.3,14,1.34,0.54,1.88,18.86,0,0,0,0,0,0,0,113,41,250,67,140,18,160,46,,,,,,,0.1,0.0,0.04,0.14,1.37,1.23,487,87,186,56,30,2,185,73,1.02,0.22
214,True,True,100.0,100.0,460028,0,0,0,0,0,2,0.9,0.9,0,Levi,0.4,162,False,,2025-01-17T15:00:07.145576Z,45,460028.jpg,2.2,False,Colwill,3.2,False,,a,6,8,47,932967,717,705705,2499,0.1,10.4,Colwill,241.0,2022-07-01,False,p460028,1890,0,1,4,28,0,0,0,6,0,0,1,225,388.6,132.3,67.0,58.9,21,0.48,1.07,1.55,30.21,0,0,0,0,0,0,0,102,37,194,47,256,76,170,50,,,,,,,0.02,0.0,0.05,0.07,1.44,1.33,390,68,352,107,237,75,103,39,1.0,0.19
215,True,True,100.0,100.0,179268,0,0,1,-1,2,2,3.1,3.1,0,Marc,2.6,163,False,,2024-12-16T09:30:06.586582Z,51,179268.jpg,2.7,False,Cucurella Saseta,6.2,False,,a,6,8,57,1051336,3588,1106602,4712,0.5,11.2,Cucurella,200.0,2022-08-05,False,p179268,1715,2,2,3,25,0,0,0,6,1,0,3,239,301.0,199.5,149.0,65.1,19,1.50,1.70,3.20,25.97,0,0,0,0,0,0,0,152,57,138,28,159,26,142,37,,,,,,,0.08,0.0,0.09,0.17,1.36,1.31,177,22,133,35,160,48,60,22,1.0,0.16
218,True,True,100.0,100.0,215413,0,0,-5,5,0,3,1.7,1.7,0,Kiernan,1.2,166,False,,2024-12-29T08:30:08.647462Z,55,215413.jpg,1.8,False,Dewsbury-Hall,0.1,False,,a,6,8,11,6881,33,26895,38,0.2,2.0,Dewsbury-Hall,241.0,2024-07-02,False,p215413,132,0,1,0,3,0,0,0,0,0,0,1,40,32.8,29.1,19.0,8.1,1,0.22,0.19,0.41,1.76,0,0,0,0,0,0,0,407,187,347,194,358,195,404,197,,,,,,,0.15,0.0,0.13,0.28,1.2,2.05,110,68,262,124,312,143,455,163,0.68,0.0
219,True,True,,,220362,0,0,-3,3,0,2,0.7,0.7,0,Axel,0.2,167,False,,,42,220362.jpg,3.7,False,Disasi,0.3,False,,a,6,8,22,65861,163,81748,360,0.0,5.2,Disasi,73.0,2023-08-04,False,p220362,363,1,0,2,3,0,0,0,1,0,0,0,84,86.4,34.1,36.0,15.7,4,0.29,0.09,0.38,6.29,0,0,0,0,0,0,0,355,125,336,109,300,98,362,120,,,,,,,0.07,0.0,0.02,0.09,1.56,0.74,593,148,390,126,72,13,294,108,0.99,0.5
220,True,True,100.0,100.0,448047,0,0,-2,2,1,3,1.5,1.5,0,Enzo,1.0,168,False,,2025-01-17T15:00:07.174073Z,48,448047.jpg,3.3,False,Fernández,4.0,False,,a,6,8,70,1481227,2417,1250650,7800,0.2,14.6,Enzo,10.0,2023-01-31,False,p448047,1597,3,4,3,24,0,0,0,3,0,0,5,385,429.8,625.4,244.0,130.2,17,2.39,3.79,6.18,23.57,0,0,0,0,0,0,0,71,21,13,11,86,55,39,25,3.0,,3.0,,4.0,,0.13,0.0,0.21,0.34,1.33,1.35,315,203,278,132,104,45,90,28,0.96,0.17
223,True,True,100.0,100.0,482609,0,0,-1,1,0,2,1.3,1.3,0,Malo,0.8,171,False,,2024-11-13T09:30:07.704412Z,49,482609.jpg,1.6,False,Gusto,1.6,False,,a,6,8,31,321754,432,496661,1545,0.2,6.3,Gusto,73.0,2023-01-28,False,p482609,1268,0,1,1,19,0,0,0,3,0,0,0,152,225.2,232.8,107.0,56.7,14,1.23,1.12,2.35,19.69,0,0,0,0,0,0,0,209,80,119,24,200,45,182,56,,,,,,,0.09,0.0,0.08,0.17,1.4,1.35,272,31,301,83,337,108,159,63,0.99,0.07
224,True,True,100.0,100.0,225796,0,0,-2,2,0,2,3.3,3.3,0,Reece,2.8,172,False,,2024-11-21T14:00:08.020459Z,48,225796.jpg,2.7,False,James,0.8,False,,a,6,8,19,152926,2636,95007,850,0.6,4.0,James,241.0,2019-05-15,False,p225796,422,1,1,0,8,0,0,0,0,0,0,1,72,105.4,66.9,16.0,18.9,5,0.16,0.36,0.52,8.88,0,0,0,0,0,0,0,324,116,280,78,363,123,348,113,2.0,,2.0,,,,0.03,0.0,0.08,0.11,1.89,1.71,303,36,118,31,156,46,229,86,1.07,0.0
226,True,True,0.0,0.0,514356,0,0,0,0,0,3,0.0,0.0,0,Roméo,0.0,174,False,Muscle injury - Unknown return date,2025-01-17T15:00:07.202444Z,45,514356.jpg,1.5,False,Lavia,0.5,False,,i,6,8,15,188709,16,256018,524,0.0,3.3,Lavia,21.0,2023-08-18,False,p514356,530,0,1,1,10,0,0,0,4,0,0,0,81,90.4,99.8,5.0,19.6,8,0.18,0.30,0.48,10.96,0,0,0,0,0,0,0,350,161,237,148,407,215,344,169,,,,,,,0.03,0.0,0.05,0.08,1.86,1.7,426,265,633,246,346,159,269,83,1.36,0.17
229,True,True,100.0,100.0,248857,0,0,-4,4,1,3,4.3,4.3,0,Noni,3.8,177,False,,2025-01-12T22:30:08.747901Z,61,248857.jpg,4.6,False,Madueke,4.5,False,,a,6,8,97,2448656,4490,2186620,4500,0.6,15.9,Madueke,241.0,2023-01-20,False,p248857,1369,7,4,3,22,0,0,0,3,0,0,12,324,404.4,305.2,789.0,149.9,17,7.49,2.02,9.51,23.25,0,0,0,0,0,0,0,92,32,80,61,6,3,19,14,,,,,3.0,,0.49,0.0,0.13,0.62,1.53,1.45,74,47,70,27,25,15,81,25,1.12,0.2
230,True,True,,,499309,0,0,-3,3,0,4,0.7,0.7,0,Marc,0.2,178,False,,,47,499309.jpg,1.0,False,Guiu Paz,0.6,False,,a,6,8,2,111224,601,144113,817,0.0,0.4,Marc Guiu,200.0,2024-07-01,False,p499309,33,0,0,0,2,0,0,0,0,0,0,0,5,0.0,0.3,0.0,0.0,0,0.00,0.00,0.00,0.53,0,0,0,0,0,0,0,725,67,475,51,707,67,725,67,,,,,,,0.0,0.0,0.0,0.0,1.45,5.45,340,63,414,47,466,49,253,43,0.0,0.0
231,True,True,0.0,0.0,465920,0,0,-3,3,0,3,0.0,0.0,0,Mykhailo,0.0,179,False,Suspended - unknown return date,2024-12-06T15:30:07.786308Z,62,465920.jpg,1.0,False,Mudryk,0.2,False,,s,6,8,7,18158,9,42863,76,0.0,1.1,Mudryk,225.0,2023-01-15,False,p465920,145,0,0,0,2,0,0,0,0,0,0,0,26,23.2,31.5,31.0,8.5,1,0.24,0.66,0.90,3.28,0,0,0,0,0,0,0,423,198,338,189,313,169,397,193,,,,,,,0.15,0.0,0.41,0.56,2.04,1.24,69,43,747,322,486,228,369,120,0.62,0.0
232,True,True,,,517052,0,0,3,-3,2,4,3.1,3.1,0,Nicolas,2.6,180,False,,,78,517052.jpg,4.9,False,Jackson,11.4,False,,a,6,8,107,5233502,5429,4420099,22326,0.3,13.7,N.Jackson,189.0,2023-07-01,False,p517052,1684,9,6,8,18,0,0,0,5,0,0,15,400,500.2,296.3,845.0,164.5,21,10.67,1.63,12.30,23.66,0,0,0,0,0,0,0,43,5,82,4,5,3,13,4,,,,,,,0.57,0.0,0.09,0.66,1.26,0.96,14,5,136,17,16,6,29,7,1.12,0.43
233,True,True,,,213198,0,0,-8,8,1,3,0.7,0.7,0,Christopher,0.2,181,False,,,57,213198.jpg,1.9,False,Nkunku,2.0,False,,a,6,8,37,286353,249,1632387,806,0.0,6.5,Nkunku,73.0,2023-07-01,False,p213198,417,2,1,0,11,0,0,0,1,0,0,4,115,134.6,115.3,186.0,43.3,3,4.24,0.38,4.62,10.09,0,0,0,0,0,0,0,294,131,217,136,123,83,232,119,,,,,2.0,,0.92,0.0,0.08,1.0,2.18,2.37,90,58,427,198,294,131,142,46,0.65,0.0
234,True,True,100.0,100.0,244851,0,0,8,-8,6,3,5.3,5.3,0,Cole,4.8,182,True,,2025-01-17T15:00:07.230312Z,113,244851.jpg,7.3,False,Palmer,64.6,False,,a,6,8,167,6441680,11985,3416052,19943,0.4,14.8,Palmer,241.0,2023-09-01,False,p244851,2011,14,7,4,29,0,0,0,3,0,0,29,717,831.6,877.9,696.0,240.8,23,11.53,6.41,17.94,31.16,0,0,0,0,0,0,0,3,2,1,1,9,4,2,2,1.0,,1.0,,1.0,,0.52,0.0,0.29,0.81,1.39,1.3,3,2,39,16,3,3,2,2,1.03,0.18
236,True,False,0.0,0.0,551230,0,0,-1,1,0,3,0.0,0.0,0,Renato,0.0,184,False,Loaned to Juventus,2025-01-30T11:39:46.371988Z,44,551230.jpg,1.0,False,Palma Veiga,0.1,False,,u,6,8,7,41967,0,42941,360,0.0,1.6,Renato Veiga,173.0,2024-07-12,False,p551230,176,0,0,1,2,0,0,0,2,0,0,0,22,30.4,9.2,19.0,5.9,1,0.16,0.15,0.31,3.17,0,0,0,0,0,0,0,411,190,419,217,353,191,424,202,,,,,,,0.08,0.0,0.08,0.16,1.62,1.02,531,317,583,212,444,200,414,142,0.51,0.51
237,True,True,,,215059,0,0,2,-2,2,1,2.1,2.1,0,Robert,1.6,185,False,,,47,215059.jpg,3.5,False,Sánchez,10.3,False,,a,6,8,74,2190655,2213,1453384,9605,0.3,15.7,Sánchez,200.0,2023-08-05,False,p215059,1890,0,0,4,27,0,1,0,5,0,71,7,275,554.6,0.0,0.0,55.3,21,0.00,0.01,0.01,29.75,0,0,0,0,0,0,0,23,5,718,74,704,68,188,6,,,,,,,0.0,3.38,0.0,0.0,1.42,1.29,330,12,216,18,88,12,33,7,1.0,0.19
238,True,True,,,109646,0,0,-3,3,0,2,2.1,2.1,0,Tosin,1.6,187,False,,,42,109646.jpg,2.7,False,Adarabioyo,0.3,False,,a,6,8,30,61733,359,54421,425,0.4,7.1,Tosin,241.0,2024-07-01,False,p109646,730,1,0,2,9,0,0,0,2,0,0,3,128,189.8,20.0,54.0,26.6,8,0.55,0.09,0.64,11.75,0,0,0,0,0,0,0,248,90,374,129,272,84,308,99,,,,,,,0.07,0.0,0.01,0.08,1.45,1.11,586,141,209,62,150,42,296,109,0.99,0.25
239,True,True,0.0,0.0,444463,0,0,-1,1,0,2,0.0,0.0,0,Wesley,0.0,189,False,Hamstring injury - Expected back 25 May,2024-12-02T00:00:08.059563Z,44,444463.jpg,1.6,False,Fofana,0.3,False,,i,6,8,19,83522,7,105712,109,0.0,4.3,W.Fofana,73.0,2022-08-31,False,p444463,1015,0,0,1,12,0,0,0,6,0,0,2,133,187.2,70.0,29.0,28.7,12,0.40,0.15,0.55,13.99,0,0,0,0,0,0,0,249,91,274,76,317,102,298,94,,,,,,,0.04,0.0,0.01,0.05,1.24,1.06,514,106,573,225,329,105,327,120,1.06,0.09
240,True,True,100.0,100.0,209243,0,0,-3,3,0,3,2.7,2.7,0,Jadon,2.2,386,False,,2024-11-07T09:00:07.812014Z,62,209243.jpg,3.3,False,Sancho,1.1,False,,a,6,8,56,485655,978,445665,1761,0.4,9.0,Sancho,241.0,2024-08-30,False,p209243,1058,2,5,2,16,0,0,0,1,0,0,3,247,232.0,312.1,237.0,77.9,12,1.36,2.20,3.56,17.20,0,0,0,0,0,0,0,205,86,74,58,93,60,113,69,,,,,,,0.12,0.0,0.19,0.31,1.46,1.36,60,35,170,70,111,51,199,58,1.02,0.17
241,True,True,100.0,100.0,247632,0,0,-3,3,0,3,1.7,1.7,0,Pedro,1.2,560,False,,2024-12-09T09:30:06.764738Z,62,247632.jpg,2.0,False,Lomba Neto,0.6,False,,a,6,8,40,250412,291,323633,561,0.2,6.5,Neto,173.0,2024-08-11,False,p247632,1085,1,2,2,13,0,0,0,6,0,0,4,174,185.6,322.1,215.0,72.3,11,0.91,1.99,2.90,15.89,0,0,0,0,0,0,0,250,109,71,55,102,67,126,75,4.0,,,,,,0.08,0.0,0.17,0.25,1.32,1.08,65,40,263,125,280,125,251,76,0.91,0.17
243,True,True,100.0,100.0,508479,0,0,-3,3,0,1,0.5,0.5,0,Filip,0.0,581,False,,2024-11-21T08:30:09.544798Z,42,508479.jpg,2.5,False,Jørgensen,0.2,False,,a,6,8,5,16412,168,34666,90,0.0,1.2,Jørgensen,58.0,2024-07-30,False,p508479,180,0,0,0,3,0,0,0,0,0,7,0,13,56.8,0.0,0.0,5.7,2,0.00,0.00,0.00,3.14,0,0,0,0,0,0,0,378,34,606,59,575,47,427,34,,,,,,,0.0,3.5,0.0,0.0,1.57,1.5,599,36,544,69,180,29,362,54,1.0,0.0
244,True,True,,,428399,0,0,-6,6,0,3,1.5,1.5,0,João,1.0,621,False,,,59,428399.jpg,2.0,False,Félix Sequeira,0.5,False,,a,6,8,24,163815,191,164387,270,0.2,4.1,João Félix,173.0,2024-08-21,False,p428399,362,1,2,1,4,0,0,0,2,0,0,0,90,88.0,95.4,141.0,32.3,3,2.30,0.45,2.75,5.96,0,0,0,0,0,0,0,353,164,243,153,164,102,279,141,,,,,,,0.57,0.0,0.11,0.68,1.48,0.99,82,53,288,140,279,124,272,84,0.75,0.25
246,True,True,,,550615,0,0,0,0,0,3,0.5,0.5,0,Tyrique,0.0,696,False,,,45,550615.jpg,0.0,False,George,0.0,False,,a,6,8,0,731,24,410,13,0.0,0.0,George,241.0,2024-04-15,False,p550615,6,0,0,0,0,0,0,0,1,0,0,0,-1,0.0,1.5,0.0,0.1,0,0.00,0.00,0.00,0.03,0,0,0,0,0,0,0,701,295,455,228,680,289,510,238,,,,,,,0.0,0.0,0.0,0.0,0.45,0.0,449,285,653,264,705,296,711,299,0.0,0.0
247,True,True,,,577016,0,0,0,0,0,2,1.1,1.1,0,Josh,0.6,697,False,,,40,577016.jpg,1.5,False,Acheampong,0.1,False,,a,6,8,3,10697,134,4740,176,0.2,0.8,Acheampong,241.0,2024-03-10,False,p577016,160,0,0,0,3,0,0,0,0,0,0,0,5,12.6,1.5,13.0,2.7,2,0.22,0.01,0.23,2.09,0,0,0,0,0,0,0,452,164,454,166,369,125,453,157,,,,,,,0.12,0.0,0.01,0.13,1.18,1.69,683,213,314,89,339,109,506,177,1.12,0.0
249,True,True,100.0,100.0,205533,0,0,-1,1,0,4,1.4,1.4,0,Eddie,1.4,11,False,,2024-11-08T15:00:07.256448Z,59,205533.jpg,1.5,False,Nketiah,0.5,False,,a,7,31,26,179563,590,188882,647,0.2,4.4,Nketiah,241.0,2024-08-30,False,p205533,619,0,2,1,11,0,0,0,3,0,0,0,93,70.4,118.8,214.0,39.9,6,1.77,0.52,2.29,9.00,0,0,0,0,0,0,0,366,36,211,26,103,29,245,30,,,,,,,0.26,0.0,0.08,0.34,1.31,1.6,79,23,244,28,353,40,271,45,0.87,0.15
251,True,True,0.0,0.0,438464,0,0,-1,1,0,3,0.0,0.0,0,Cheick,1.0,193,False,Knee injury - Expected back 01 Jun,2025-01-24T16:00:08.864027Z,49,438464.jpg,1.5,False,Doucouré,0.0,False,,i,7,31,19,12786,1,19260,56,0.2,3.9,C.Doucouré,132.0,2022-07-11,False,p438464,443,0,1,1,6,0,0,0,1,0,0,0,71,58.6,25.7,23.0,10.8,4,0.40,0.11,0.51,7.53,0,0,0,0,0,0,0,373,173,359,198,342,186,382,185,,,,,,,0.08,0.0,0.02,0.1,1.53,1.22,267,172,282,135,349,162,541,205,0.81,0.2
252,True,True,100.0,100.0,427623,0,0,-1,1,0,2,4.2,4.2,6,Chris,4.2,194,False,,2024-09-27T15:30:06.509919Z,44,427623.jpg,2.6,False,Richards,0.1,False,,a,7,31,34,10243,475,19391,72,1.0,7.7,C.Richards,229.0,2022-07-27,False,p427623,976,0,0,4,14,0,0,0,1,0,0,0,140,222.4,29.6,63.0,31.7,11,0.23,0.08,0.31,16.27,0,0,0,0,0,0,0,213,81,346,113,261,78,283,89,,,,,,,0.02,0.0,0.01,0.03,1.5,1.29,512,105,55,8,168,53,439,153,1.01,0.37
253,True,True,0.0,0.0,515621,0,0,-2,2,0,2,0.0,0.0,0,Chadi,0.0,195,False,Knee injury - Unknown return date,2025-01-24T16:00:08.878612Z,43,515621.jpg,1.0,False,Riad Dnanou,0.0,False,,i,7,31,1,2380,1,13932,28,0.0,0.2,Chadi Riad,145.0,2024-07-02,False,p515621,90,0,0,0,2,0,0,0,0,0,0,0,3,18.2,1.3,0.0,2.0,1,0.00,0.02,0.02,1.39,0,0,0,0,0,0,0,437,156,456,167,589,232,468,162,,,,,,,0.0,0.0,0.02,0.02,1.39,2.0,577,135,558,215,436,158,550,190,1.0,0.0
254,True,True,,,57328,0,0,-2,2,0,2,0.6,0.6,1,Nathaniel,0.6,196,False,,,43,57328.jpg,1.5,False,Clyne,0.1,False,,a,7,31,16,8325,68,13484,48,0.1,3.7,Clyne,241.0,2020-10-14,False,p57328,392,0,0,1,9,0,0,0,1,0,0,0,42,56.8,36.6,5.0,9.7,4,0.01,0.13,0.14,9.37,0,0,0,0,0,0,0,379,130,329,105,404,141,393,131,,,,,,,0.0,0.0,0.03,0.03,2.15,2.07,544,112,316,90,340,110,466,162,0.92,0.23
256,True,True,100.0,0.0,232413,0,0,-3,3,1,3,4.0,0.0,1,Eberechi,4.0,199,False,,2025-01-31T15:00:08.813444Z,67,232413.jpg,3.7,False,Eze,7.9,False,,a,7,31,74,1397266,279,3848839,28535,0.6,11.0,Eze,241.0,2020-08-28,False,p232413,1611,2,5,6,18,0,0,0,1,0,0,6,336,368.8,605.1,433.0,140.5,19,4.81,2.86,7.67,22.34,0,0,0,0,0,0,0,110,41,15,13,42,25,26,19,1.0,,1.0,,2.0,,0.27,0.0,0.16,0.43,1.25,1.01,37,18,64,26,80,36,45,13,1.06,0.34
257,True,True,100.0,100.0,209036,0,0,1,-1,2,2,6.4,6.4,6,Marc,6.4,200,False,,2024-12-27T00:30:09.395954Z,46,209036.jpg,3.7,False,Guéhi,7.9,False,,a,7,31,85,965854,15835,861056,3734,1.4,18.5,Guéhi,241.0,2021-07-18,False,p209036,2070,3,1,7,29,2,0,0,5,0,0,10,341,603.0,115.5,155.0,87.2,23,1.43,0.49,1.92,32.66,0,0,0,0,0,0,0,12,3,215,55,148,23,95,18,,,,,,,0.06,0.0,0.02,0.08,1.42,1.26,350,50,15,1,74,15,46,14,1.0,0.3
258,True,True,100.0,100.0,172649,0,0,0,0,2,1,4.4,4.4,6,Dean,4.4,201,False,,2025-01-12T22:00:08.068713Z,45,172649.jpg,3.6,False,Henderson,12.1,False,,a,7,31,86,1227322,9189,1604178,3630,1.0,19.1,Henderson,241.0,2023-08-31,False,p172649,2160,0,0,7,30,0,1,0,3,0,67,4,301,544.0,10.0,4.0,55.7,24,0.01,0.02,0.03,33.60,0,0,0,0,0,0,0,24,6,416,12,413,1,186,5,,,,,,,0.0,2.79,0.0,0.0,1.4,1.25,365,15,50,1,82,10,28,5,1.0,0.29
260,True,True,100.0,100.0,108413,0,0,-1,1,0,3,2.0,2.0,2,Will,2.0,203,False,,2025-01-03T20:00:09.097906Z,49,108413.jpg,2.2,False,Hughes,0.1,False,,a,7,31,46,11960,60,12421,64,0.4,9.4,Hughes,241.0,2021-08-28,False,p108413,1405,0,3,6,19,0,0,0,8,0,0,3,203,240.4,335.5,64.0,64.0,16,0.80,1.70,2.50,22.47,0,0,0,0,0,0,0,196,81,68,53,260,144,148,84,2.0,,,,,,0.05,0.0,0.11,0.16,1.44,1.22,241,152,174,71,240,104,528,199,1.02,0.38
