,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
12,True,True,100.0,100.0,204480,0,0,-3,3,0,3,4.7,4.2,10,Declan,4.2,16,False,,2024-12-14T22:30:07.561621Z,62,204480.jpg,3.1,False,Rice,2.6,False,,a,1,3,69,246024,3998,647490,1388,0.7,11.1,Rice,241.0,2023-07-15,False,p204480,1739,1,5,6,20,0,0,0,3,1,0,8,389,418.2,620.9,198.0,123.2,20,1.47,4.02,5.49,16.13,0,0,0,0,0,0,0,81,25,14,12,112,74,45,30,2.0,,2.0,,,,0.08,0.0,0.21,0.29,0.83,1.04,59,34,58,23,123,56,119,36,1.04,0.31
13,True,True,0.0,0.0,223340,0,0,2,-2,4,3,0.0,0.0,0,Bukayo,0.0,17,False,Hamstring injury - Expected back 08 Mar,2024-12-21T21:30:07.668871Z,102,223340.jpg,6.7,False,Saka,9.0,False,,i,1,3,107,5221788,159,7632860,6760,0.0,10.5,Saka,241.0,2018-11-28,False,p223340,1268,5,11,6,13,0,0,0,3,0,0,16,435,516.2,630.0,604.0,174.9,16,4.17,5.60,9.77,10.52,0,0,0,0,0,0,0,36,12,11,10,19,10,10,7,1.0,,,,1.0,,0.3,0.0,0.4,0.7,0.75,0.92,4,3,758,329,5,4,39,10,1.14,0.43
14,True,True,100.0,100.0,462424,0,0,2,-2,3,2,3.5,3.0,2,William,3.0,18,False,,2025-01-18T23:00:07.959087Z,62,462424.jpg,4.0,False,Saliba,21.6,False,,a,1,3,87,2182597,11463,4121555,6665,0.5,14.0,Saliba,73.0,2019-07-25,False,p462424,1919,2,0,8,18,0,0,0,2,1,0,9,363,423.0,79.8,89.0,59.4,22,1.88,0.80,2.68,17.52,0,0,0,0,0,0,0,75,29,261,72,218,56,168,49,,,,,,,0.09,0.0,0.04,0.13,0.82,0.84,68,4,115,28,54,6,18,7,1.03,0.38
15,True,True,100.0,100.0,167199,0,0,-1,1,0,3,3.9,3.4,8,Thomas,3.4,20,False,,2024-11-30T22:00:07.258906Z,49,167199.jpg,3.3,False,Partey,0.7,False,,a,1,3,76,274252,972,253400,523,0.7,15.5,Thomas,81.0,2020-10-05,False,p167199,1851,3,3,5,20,0,0,0,2,0,0,6,403,434.6,255.9,136.0,82.9,20,1.56,1.59,3.15,19.34,0,0,0,0,0,0,0,68,19,102,73,171,105,104,62,,,,,,,0.08,0.0,0.08,0.16,0.94,0.97,247,156,84,35,105,46,233,71,0.97,0.24
16,True,True,100.0,100.0,192895,0,0,-2,2,0,2,0.9,0.4,0,Kieran,0.4,21,False,,2024-08-12T14:30:04.394338Z,43,192895.jpg,1.0,False,Tierney,0.0,False,,a,1,3,2,3946,97,6536,74,0.1,0.5,Tierney,243.0,2019-08-08,False,p192895,16,0,0,0,0,0,0,0,0,0,0,0,10,2.2,11.0,2.0,1.6,0,0.00,0.23,0.23,0.21,0,0,0,0,0,0,0,495,175,402,138,430,156,479,167,,,,,,,0.0,0.0,1.29,1.29,1.18,0.0,559,121,346,102,433,155,556,193,0.0,0.0
17,True,True,0.0,0.0,223723,0,0,-2,2,0,2,0.0,0.0,0,Tomiyasu,0.0,22,False,Knee injury - Unknown return date,2024-10-18T16:00:06.930143Z,48,223723.jpg,1.0,False,Takehiro,0.0,False,,i,1,3,1,1643,8,7726,12,0.0,0.2,Tomiyasu,108.0,2021-08-31,False,p223723,6,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.3,9.0,1.0,0,0.18,0.00,0.18,0.04,0,0,0,0,0,0,0,507,180,476,174,386,132,486,169,,,,,,,2.7,0.0,0.0,2.7,0.6,0.0,301,35,687,241,468,164,581,199,0.0,0.0
18,True,True,100.0,100.0,116216,0,0,-2,2,1,3,5.7,5.2,2,Leandro,5.2,23,False,,2024-11-21T08:30:08.540890Z,68,116216.jpg,3.5,False,Trossard,2.4,False,,a,1,3,85,579011,9487,580378,3867,0.8,12.5,Trossard,21.0,2023-01-20,False,p116216,1451,4,5,6,16,0,0,0,1,1,0,10,322,361.6,363.9,402.0,112.6,16,3.23,2.46,5.69,12.48,0,0,0,0,0,0,0,115,43,61,47,49,30,54,35,4.0,,,,4.0,,0.2,0.0,0.15,0.35,0.77,0.99,31,15,29,11,96,43,123,39,0.99,0.37
19,True,True,0.0,0.0,198869,0,0,-4,4,0,2,0.0,0.0,0,Benjamin,0.0,24,False,Knee injury - Unknown return date,2024-11-14T13:00:07.861117Z,61,198869.jpg,3.0,False,White,2.1,False,,i,1,3,27,146046,37,982714,743,0.0,4.4,White,241.0,2021-07-30,False,p198869,694,0,1,3,7,0,0,0,2,0,0,0,112,128.4,55.3,29.0,21.3,7,0.13,0.32,0.45,9.87,0,0,0,0,0,0,0,301,110,305,91,322,105,335,111,,,,,,,0.02,0.0,0.04,0.06,1.28,0.91,72,5,745,249,132,35,136,52,0.91,0.39
20,True,True,100.0,100.0,206325,0,0,-2,2,0,2,0.7,0.2,0,Oleksandr,0.2,25,False,,2024-12-09T09:30:06.099861Z,48,206325.jpg,2.1,False,Zinchenko,0.9,False,,a,1,3,17,91754,184,310612,305,0.0,3.5,Zinchenko,225.0,2022-07-22,False,p206325,238,0,0,2,0,0,0,0,1,0,0,0,66,22.2,26.5,23.0,7.2,2,0.06,0.08,0.14,1.82,0,0,0,0,0,0,0,427,151,357,118,341,112,408,135,,,,,,,0.02,0.0,0.03,0.05,0.69,0.0,298,34,418,131,262,84,215,82,0.76,0.76
21,True,True,100.0,100.0,69752,0,0,-4,4,0,1,0.5,0.0,0,Norberto,0.0,73,False,,2024-10-05T17:30:06.760449Z,41,69752.jpg,3.5,False,Murara Neto,0.8,False,,a,1,3,7,88256,218,247986,307,0.0,1.7,Neto,30.0,2024-08-30,False,p69752,180,0,0,0,2,0,0,0,0,0,11,0,30,77.8,0.0,0.0,7.8,2,0.00,0.00,0.00,2.91,0,0,0,0,0,0,0,360,33,600,56,567,43,406,33,,,,,,,0.0,5.5,0.0,0.0,1.46,1.0,602,39,533,66,87,11,230,32,1.0,0.0
