date,time,week,home_team,home_xg,score,away_xg,away_team
2024-09-21,15:00,5,https://resources.premierleague.com/premierleague/badges/70/t7.png,1.7,3–1,0.5,https://resources.premierleague.com/premierleague/badges/70/t39.png
2024-09-21,17:30,5,https://resources.premierleague.com/premierleague/badges/70/t31.png,1.0,0–0,1.6,https://resources.premierleague.com/premierleague/badges/70/t1.png
2024-09-21,15:00,5,https://resources.premierleague.com/premierleague/badges/70/t54.png,2.2,3–1,1.5,https://resources.premierleague.com/premierleague/badges/70/t4.png
2024-09-21,15:00,5,https://resources.premierleague.com/premierleague/badges/70/t13.png,0.7,1–1,1.1,https://resources.premierleague.com/premierleague/badges/70/t11.png
2024-09-21,15:00,5,https://resources.premierleague.com/premierleague/badges/70/t14.png,2.0,3–0,1.1,https://resources.premierleague.com/premierleague/badges/70/t91.png
2024-09-21,15:00,5,https://resources.premierleague.com/premierleague/badges/70/t20.png,2.4,1–1,1.6,https://resources.premierleague.com/premierleague/badges/70/t40.png
2024-09-21,15:00,5,https://resources.premierleague.com/premierleague/badges/70/t6.png,3.5,3–1,0.8,https://resources.premierleague.com/premierleague/badges/70/t94.png
2024-09-21,12:30,5,https://resources.premierleague.com/premierleague/badges/70/t21.png,0.9,0–3,2.2,https://resources.premierleague.com/premierleague/badges/70/t8.png
2024-09-22,14:00,5,https://resources.premierleague.com/premierleague/badges/70/t36.png,1.0,2–2,1.4,https://resources.premierleague.com/premierleague/badges/70/t17.png
2024-09-22,16:30,5,https://resources.premierleague.com/premierleague/badges/70/t43.png,2.1,2–2,0.7,https://resources.premierleague.com/premierleague/badges/70/t3.png
2024-09-28,15:00,6,https://resources.premierleague.com/premierleague/badges/70/t3.png,4.4,4–2,0.3,https://resources.premierleague.com/premierleague/badges/70/t13.png
2024-09-28,15:00,6,https://resources.premierleague.com/premierleague/badges/70/t94.png,0.4,1–1,1.0,https://resources.premierleague.com/premierleague/badges/70/t21.png
2024-09-28,15:00,6,https://resources.premierleague.com/premierleague/badges/70/t8.png,4.2,4–2,1.1,https://resources.premierleague.com/premierleague/badges/70/t36.png
2024-09-28,15:00,6,https://resources.premierleague.com/premierleague/badges/70/t11.png,0.9,2–1,0.9,https://resources.premierleague.com/premierleague/badges/70/t31.png
2024-09-28,12:30,6,https://resources.premierleague.com/premierleague/badges/70/t4.png,1.6,1–1,0.9,https://resources.premierleague.com/premierleague/badges/70/t43.png
2024-09-28,15:00,6,https://resources.premierleague.com/premierleague/badges/70/t17.png,0.8,0–1,1.3,https://resources.premierleague.com/premierleague/badges/70/t54.png
2024-09-28,17:30,6,https://resources.premierleague.com/premierleague/badges/70/t39.png,0.6,1–2,2.5,https://resources.premierleague.com/premierleague/badges/70/t14.png
