can_transact,can_select,element_type,ep_next,ep_this,event_points,form,id,news,news_added,now_cost,photo,points_per_game,removed,selected_by_percent,status,team,team_code,total_points,value_form,value_season,web_name,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,creativity_rank,threat_rank,ict_index_rank,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,position,goal_involvements,money_value,performance,next_match,next_3_FDRs,next_3_avg_FDRs,next_3,next_5_FDRs,next_5_avg_FDRs,next_5,FPL_ID,fbref_id,Understat_ID,transfermarkt,league_id,season_id,player_id,xg,np_goals,np_xg,xa,shots,key_passes,xg_chain,xg_buildup
True,True,FWD,3.7,2.7,8,3.2,148,,2024-12-16T09:30:06.558564Z,5.5,https://resources.premierleague.com/premierleague/photos/players/250x250/p50175.png,4.4,False,5.8,a,Brighton,36,83,0.6,15.1,Welbeck,2020-10-18,1990-11-26,False,p50175,1436,6,4,6,23,0,0,0,2,0,0,13,300,341.2,216.4,427.0,98.5,17,6.08,0.93,7.01,25.88,0,0,0,0,0,0,0,139,136,48,84,,1.0,3.0,0.38,0.0,0.06,0.44,1.62,1.44,1.07,0.38,Forward,10.0,15.09,2.99,"['Southampton', 'Away']","[2, 3, 3]",2.67,"['Southampton', 'Bournemouth', 'Fulham']","[2, 3, 3, 4, 3]",3.0,"['Southampton', 'Bournemouth', 'Fulham', 'Man City', 'Aston Villa']",148,ce5143da,501,67063,1,2024,501,6.62,6,6.62,1.57,40,15,11.06,4.71
True,True,FWD,0.0,0.0,0,0.2,178,Hamstring injury - Unknown return date,2025-02-07T16:30:07.359889Z,4.7,https://resources.premierleague.com/premierleague/photos/players/250x250/p499309.png,1.0,False,0.5,i,Chelsea,8,3,0.0,0.6,Marc Guiu,2024-07-01,2006-01-04,False,p499309,71,0,0,0,2,0,0,0,0,0,0,0,11,4.4,11.8,6.0,2.2,0,0.00,0.02,0.02,1.46,0,0,0,0,0,0,0,494,411,415,477,,,,0.0,0.0,0.03,0.03,1.85,2.54,0.0,0.0,Forward,0.0,0.64,-0.02,"['Aston Villa', 'Away']","[3, 2, 2]",2.33,"['Aston Villa', 'Southampton', 'Leicester']","[3, 2, 2, 4, 3]",2.8,"['Aston Villa', 'Southampton', 'Leicester', 'Arsenal', 'Spurs']",178,d3d774cc,11633,938158,1,2024,11633,0.0,0,0.0,0.04,0,1,0.11,0.11
True,True,FWD,0.0,0.0,0,2.0,180,Hamstring injury - Expected back 02 Apr,2025-02-10T09:30:07.129820Z,7.7,https://resources.premierleague.com/premierleague/photos/players/250x250/p517052.png,4.7,False,8.2,i,Chelsea,8,108,0.3,14.0,N.Jackson,2023-07-01,2001-06-20,False,p517052,1735,9,6,8,19,0,0,0,5,0,0,15,402,501.8,318.7,854.0,167.8,22,10.71,1.65,12.36,23.95,0,0,0,0,0,0,0,50,79,5,14,,,,0.56,0.0,0.09,0.65,1.24,0.99,1.14,0.41,Forward,15.0,14.03,2.64,"['Aston Villa', 'Away']","[3, 2, 2]",2.33,"['Aston Villa', 'Southampton', 'Leicester']","[3, 2, 2, 4, 3]",2.8,"['Aston Villa', 'Southampton', 'Leicester', 'Arsenal', 'Spurs']",180,9c36ed83,10048,776890,1,2024,10048,12.69,9,12.69,3.3,63,25,15.46,2.85
True,True,FWD,1.5,1.5,1,1.5,11,,2025-02-12T09:00:08.817715Z,5.9,https://resources.premierleague.com/premierleague/photos/players/250x250/p205533.png,1.5,False,0.5,a,Crystal Palace,31,27,0.3,4.6,Nketiah,2024-08-30,1999-05-30,False,p205533,623,0,2,1,11,0,0,0,3,0,0,0,96,70.4,119.3,223.0,40.9,6,1.85,0.52,2.37,9.00,0,0,0,0,0,0,0,376,223,106,248,,,,0.27,0.0,0.08,0.35,1.3,1.59,0.87,0.14,Forward,2.0,4.58,-0.37,"['Fulham', 'Away']","[3, 3, 2]",2.67,"['Fulham', 'Aston Villa', 'Ipswich']","[3, 3, 2, 2]",2.5,"['Fulham', 'Aston Villa', 'Ipswich', 'Southampton']",11,a53649b7,6482,340324,1,2024,6482,2.01,0,2.01,1.14,25,10,4.5,1.74
True,True,FWD,8.8,8.8,7,8.8,207,,,7.3,https://resources.premierleague.com/premierleague/photos/players/250x250/p231747.png,4.4,False,7.9,a,Crystal Palace,31,110,1.2,15.1,Mateta,2022-01-31,1997-06-28,False,p231747,1949,11,1,6,27,0,0,0,2,0,0,20,429,499.0,317.5,578.0,139.2,23,10.64,2.06,12.7,29.77,0,0,0,0,0,0,0,52,80,25,34,,,1.0,0.49,0.0,0.1,0.59,1.37,1.25,1.06,0.28,Forward,12.0,15.07,-0.7,"['Fulham', 'Away']","[3, 3, 2]",2.67,"['Fulham', 'Aston Villa', 'Ipswich']","[3, 3, 2, 2]",2.5,"['Fulham', 'Aston Villa', 'Ipswich', 'Southampton']",207,50e6dc35,5735,420002,1,2024,5735,12.34,9,10.82,2.91,50,23,13.66,2.49
True,True,FWD,0.0,0.0,0,0.0,156,Ankle injury - Expected back 01 Apr,2025-01-04T19:30:08.180664Z,5.4,https://resources.premierleague.com/premierleague/photos/players/250x250/p440323.png,1.0,False,0.1,i,Everton,11,5,0.0,0.9,Broja,2024-08-30,2001-09-10,False,p440323,156,0,0,0,2,0,0,0,1,0,0,0,6,11.6,28.3,29.0,6.2,2,0.11,0.09,0.2,2.37,0,0,0,0,0,0,0,471,358,333,426,,,,0.06,0.0,0.05,0.11,1.37,1.15,1.15,0.0,Forward,0.0,0.93,-0.2,"['Man Utd', 'Home']","[3, 3, 2]",2.67,"['Man Utd', 'Brentford', 'Wolves']","[3, 3, 2, 2, 5]",3.0,"['Man Utd', 'Brentford', 'Wolves', 'West Ham', 'Liverpool']",156,97220da2,8384,571743,1,2024,8384,0.1,0,0.1,0.13,4,2,0.48,0.26
True,True,FWD,6.2,6.2,8,6.2,218,,,4.9,https://resources.premierleague.com/premierleague/photos/players/250x250/p486385.png,2.9,False,2.2,a,Everton,11,50,1.3,10.2,Beto,2023-08-29,1998-01-31,False,p486385,571,5,0,2,12,0,0,0,1,0,0,9,179,209.2,59.5,277.0,54.1,4,3.49,0.07,3.56,7.12,0,0,0,0,0,0,0,233,302,76,203,,,,0.55,0.0,0.01,0.56,1.12,1.89,0.63,0.32,Forward,5.0,10.2,1.44,"['Man Utd', 'Home']","[3, 3, 2]",2.67,"['Man Utd', 'Brentford', 'Wolves']","[3, 3, 2, 2, 5]",3.0,"['Man Utd', 'Brentford', 'Wolves', 'West Ham', 'Liverpool']",218,ed5c0319,9983,595809,1,2024,9983,3.81,5,3.81,0.25,21,4,3.77,0.97
True,True,FWD,0.0,0.0,0,1.2,220,Hamstring injury - Unknown return date,2025-01-25T21:00:09.935532Z,5.4,https://resources.premierleague.com/premierleague/photos/players/250x250/p177815.png,2.7,False,1.2,i,Everton,11,59,0.2,10.9,Calvert-Lewin,2016-10-01,1997-03-16,False,p177815,1571,3,2,8,17,0,0,0,2,0,0,3,147,191.0,124.7,527.0,83.6,19,6.05,0.63,6.68,23.22,0,0,0,0,0,0,0,253,211,34,108,,,1.0,0.35,0.0,0.04,0.39,1.33,0.97,1.09,0.46,Forward,5.0,10.93,-1.68,"['Man Utd', 'Home']","[3, 3, 2]",2.67,"['Man Utd', 'Brentford', 'Wolves']","[3, 3, 2, 2, 5]",3.0,"['Man Utd', 'Brentford', 'Wolves', 'West Ham', 'Liverpool']",220,59e6e5bf,5555,306024,1,2024,5555,7.85,3,7.85,0.74,46,7,6.98,1.29
True,True,FWD,0.0,0.0,0,4.8,232,Knee injury - Unknown return date,2025-02-12T22:30:09.619740Z,5.5,https://resources.premierleague.com/premierleague/photos/players/250x250/p440993.png,3.4,False,4.5,i,Everton,11,81,0.9,14.7,Ndiaye,2024-07-03,2000-03-06,False,p440993,1874,6,0,11,20,0,0,0,3,0,0,15,393,449.4,279.4,333.0,106.5,22,3.58,1.03,4.61,23.85,0,0,0,0,0,0,0,71,99,62,73,,,,0.17,0.0,0.05,0.22,1.15,0.96,1.06,0.53,Forward,6.0,14.73,1.39,"['Man Utd', 'Home']","[3, 3, 2]",2.67,"['Man Utd', 'Brentford', 'Wolves']","[3, 3, 2, 2, 5]",3.0,"['Man Utd', 'Brentford', 'Wolves', 'West Ham', 'Liverpool']",232,5ed97752,9307,623570,1,2024,9307,4.55,5,3.79,1.47,25,16,8.53,4.3
True,True,FWD,2.8,2.3,1,2.8,251,,2025-01-11T01:30:08.863909Z,5.5,https://resources.premierleague.com/premierleague/photos/players/250x250/p244042.png,2.3,False,1.5,a,Fulham,54,55,0.5,10.0,Muniz,2021-08-20,2001-05-04,False,p244042,670,4,1,2,12,0,0,0,1,0,0,8,210,195.2,77.2,345.0,61.4,5,3.98,0.10,4.08,9.51,0,0,0,0,0,0,0,250,271,58,175,,,,0.53,0.0,0.01,0.54,1.28,1.61,0.67,0.27,Forward,5.0,10.0,0.92,"['Crystal Palace', 'Home']","[3, 2, 3]",2.67,"['Crystal Palace', 'Wolves', 'Brighton']","[3, 2, 3, 3, 4]",3.0,"['Crystal Palace', 'Wolves', 'Brighton', 'Spurs', 'Arsenal']",251,a755db8c,10717,735571,1,2024,10717,4.15,4,4.15,0.68,27,6,4.47,0.76
