id,name,team,position,total_points,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
541,Cunha,20,4,6,10,90,0,1,0,2,0,0,0,0,0,0,1,29,27.2,40.8,13.0,8.1,1,0.11,0.22,0.33,2.51
541,Cunha,20,4,12,11,89,1,1,1,0,0,0,0,0,0,0,3,45,56.6,28.8,22.0,10.7,1,0.06,0.42,0.48,0.48
541,Cunha,20,4,16,12,90,2,1,0,1,0,0,0,0,0,0,3,68,87.2,13.5,56.0,15.7,1,0.77,0.05,0.82,0.97
541,Cunha,20,4,2,13,90,0,0,0,4,0,0,0,0,0,0,0,8,12.6,29.6,7.0,4.9,1,0.11,0.11,0.22,3.19
180,N.Jackson,6,4,2,1,65,0,0,0,1,0,0,0,0,0,0,0,3,4.6,23.6,23.0,5.1,1,0.47,0.06,0.53,0.66
180,N.Jackson,6,4,10,2,67,1,1,0,2,0,0,0,0,0,0,1,39,52.2,24.0,39.0,11.5,1,0.17,0.01,0.18,1.80
180,N.Jackson,6,4,6,3,90,1,0,0,1,0,0,0,1,0,0,1,27,37.0,0.6,77.0,11.5,1,1.34,0.00,1.34,0.44
180,N.Jackson,6,4,1,4,78,0,0,1,0,0,0,0,1,0,0,0,0,1.4,5.4,26.0,3.3,1,0.31,0.01,0.32,1.55
180,N.Jackson,6,4,16,5,63,2,1,1,0,0,0,0,0,0,0,3,77,87.8,23.2,47.0,15.8,1,0.76,0.06,0.82,0.57
180,N.Jackson,6,4,5,6,78,0,1,0,2,0,0,0,0,0,0,0,15,18.2,10.7,46.0,7.5,1,1.37,0.06,1.43,0.97
180,N.Jackson,6,4,2,7,80,0,0,0,1,0,0,0,0,0,0,0,7,8.2,4.9,39.0,5.2,1,0.50,0.03,0.53,0.59
180,N.Jackson,6,4,6,8,90,1,0,0,2,0,0,0,1,0,0,1,28,31.4,2.7,21.0,5.5,1,0.33,0.00,0.33,1.94
180,N.Jackson,6,4,9,9,77,1,0,0,1,0,0,0,0,0,0,3,35,37.4,31.5,17.0,8.6,1,0.56,0.04,0.60,1.92
180,N.Jackson,6,4,1,10,90,0,0,0,1,0,0,0,1,0,0,0,12,16.2,12.9,25.0,5.4,1,0.08,0.05,0.13,1.98
180,N.Jackson,6,4,2,11,87,0,0,0,1,0,0,0,0,0,0,0,9,3.8,12.3,27.0,4.3,1,0.06,0.06,0.12,0.99
180,N.Jackson,6,4,12,12,90,1,1,1,0,0,0,0,0,0,0,3,51,46.4,15.1,55.0,11.7,1,0.44,0.15,0.59,0.32
180,N.Jackson,6,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
148,Welbeck,5,4,12,1,90,1,1,1,0,0,0,0,0,0,0,3,41,61.4,24.8,25.0,11.1,1,0.20,0.04,0.24,0.45
148,Welbeck,5,4,9,2,78,1,0,0,1,0,0,0,0,0,0,3,38,40.8,23.7,59.0,12.4,1,1.11,0.02,1.13,1.32
148,Welbeck,5,4,2,3,84,0,0,0,1,0,0,0,0,0,0,0,3,0.4,2.8,6.0,0.9,1,0.10,0.01,0.11,2.08
148,Welbeck,5,4,2,4,84,0,0,1,0,0,0,0,0,0,0,0,5,2.4,5.5,49.0,5.7,1,0.18,0.13,0.31,0.35
148,Welbeck,5,4,6,5,90,1,0,0,2,0,0,0,1,0,0,1,28,40.4,16.0,39.0,9.5,1,0.37,0.06,0.43,1.53
148,Welbeck,5,4,2,6,80,0,0,0,4,0,0,0,0,0,0,0,4,6.0,13.9,29.0,4.9,1,0.41,0.01,0.42,4.09
148,Welbeck,5,4,8,7,90,1,0,0,2,0,0,0,0,0,0,2,31,35.0,25.2,43.0,10.3,1,1.13,0.02,1.15,1.37
148,Welbeck,5,4,9,8,80,1,0,1,0,0,0,0,0,0,0,3,39,38.0,4.0,24.0,6.6,1,0.42,0.01,0.43,1.94
148,Welbeck,5,4,7,9,72,1,0,1,0,0,0,0,0,0,0,1,27,30.4,12.1,38.0,8.1,1,0.63,0.01,0.64,0.65
148,Welbeck,5,4,5,10,90,0,1,0,2,0,0,0,0,0,0,0,17,21.4,16.0,21.0,5.8,1,0.26,0.02,0.28,1.65
148,Welbeck,5,4,2,11,90,0,0,0,1,0,0,0,0,0,0,0,2,2.4,2.6,12.0,1.7,1,0.30,0.01,0.31,2.22
148,Welbeck,5,4,2,12,85,0,0,1,0,0,0,0,0,0,0,0,8,12.2,25.4,2.0,4.0,1,0.00,0.03,0.03,1.12
148,Welbeck,5,4,2,13,78,0,0,0,1,0,0,0,0,0,0,0,-1,1.0,1.3,15.0,1.7,1,0.19,0.06,0.25,0.96
110,Wissa,4,4,11,1,83,1,1,0,1,0,0,0,1,0,0,3,47,50.2,14.2,44.0,10.8,1,1.00,0.01,1.01,0.61
