player,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per90Minutes_Gls,Per90Minutes_Ast,Per90Minutes_G+A,Per90Minutes_G-PK,Per90Minutes_G+A-PK,Per90Minutes_xG,Per90Minutes_xAG,Per90Minutes_xG+xAG,Per90Minutes_npxG,Per90Minutes_npxG+xAG,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,SCA_SCA,SCA_SCA90,GCA_GCA,GCA_GCA90,Touches_Att3rd,Touches_AttPen,Take-Ons_Att,Take-Ons_Succ,Total_Cmp,Total_Att,Total_Cmp%,KP_,1/3_,PPA_,CrsPA_,Tackles_Tkl,Tackles_TklW,Int_,Tkl+Int_,Blocks_Sh,Clr_,Err_
Harrison Reed,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.13,0.02,0.13,1,0,0.0,1.48,0.0,0.0,0.0,1,1.48,0,0.0,31,4,1,0,28,39,71.8,1,0,1,0,5,2,1,6,0,2,0
Harry Clarke,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,1,1,100.0,0.24,0.24,0.0,0.0,1,0.24,0,0.0,47,2,2,1,190,236,80.5,1,21,1,0,5,3,4,9,4,14,3
Harry Maguire,0,0,0,0,0,0.5,0.5,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,4,1,25.0,0.44,0.11,0.0,0.0,8,0.88,0,0.0,28,15,3,2,465,541,86.0,4,27,1,0,11,7,24,35,7,32,1
Harry Toffolo,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,1,0,0.0,1.91,0.0,0.0,0.0,0,0.0,0,0.0,21,2,0,0,25,34,73.5,0,1,0,0,2,0,1,3,0,7,0
Harry Wilson,5,0,5,5,0,3.2,3.2,0.5,3.7,0.64,0.0,0.64,0.64,0.64,0.41,0.07,0.48,0.41,0.48,27,9,33.3,3.48,1.16,0.19,0.56,22,2.84,2,0.26,200,38,18,7,206,277,74.4,10,17,9,0,9,5,5,14,0,5,1
Harry Winks,0,2,2,0,0,0.2,0.2,1.1,1.3,0.0,0.15,0.15,0.0,0.15,0.01,0.08,0.1,0.01,0.1,8,2,25.0,0.59,0.15,0.0,0.0,33,2.45,3,0.22,124,1,8,2,714,818,87.3,14,86,6,4,19,8,7,26,5,17,0
Harvey Barnes,5,1,6,5,0,3.0,3.0,2.4,5.4,0.58,0.12,0.69,0.58,0.69,0.34,0.28,0.62,0.34,0.62,28,10,35.7,3.22,1.15,0.18,0.5,31,3.55,4,0.46,197,57,28,12,221,283,78.1,11,9,20,4,10,6,4,14,1,5,1
Harvey Elliott,0,0,0,0,0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.07,0.26,0.33,0.07,0.33,1,0,0.0,1.87,0.0,0.0,0.0,3,5.63,0,0.0,38,3,2,0,50,64,78.1,3,5,2,0,3,2,0,3,0,1,0
Hwang Hee-chan,2,0,2,2,0,0.8,0.8,0.1,0.9,0.33,0.0,0.33,0.33,0.33,0.13,0.02,0.15,0.13,0.15,4,2,50.0,0.66,0.33,0.5,1.0,8,1.31,1,0.16,103,19,10,1,138,169,81.7,2,6,4,2,4,2,2,6,0,7,0
Hákon Rafn Valdimarsson,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2,3.27,0,0.0,0,0,0,0,16,31,51.6,0,0,0,0,0,0,0,0,0,2,0
Ian Maatsen,0,1,1,0,0,0.1,0.1,1.3,1.4,0.0,0.29,0.29,0.0,0.29,0.02,0.38,0.41,0.02,0.41,4,1,25.0,1.15,0.29,0.0,0.0,23,6.59,5,1.43,99,17,9,4,187,233,80.3,10,8,7,1,11,7,4,15,0,8,1
Ibrahim Sangaré,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,1,1,100.0,0.42,0.42,0.0,0.0,4,1.7,0,0.0,20,6,0,0,86,113,76.1,1,5,1,0,15,9,2,17,0,2,0
Ibrahima Konaté,1,1,2,1,0,0.8,0.8,0.2,1.0,0.08,0.08,0.16,0.08,0.16,0.07,0.02,0.08,0.07,0.08,8,2,25.0,0.64,0.16,0.13,0.5,10,0.8,2,0.16,38,11,2,1,765,851,89.9,3,65,4,0,14,10,7,21,8,56,1
Idrissa Gana Gueye,0,0,0,0,0,0.8,0.8,0.6,1.4,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,19,3,15.8,1.15,0.18,0.0,0.0,30,1.82,0,0.0,178,14,20,10,607,710,85.5,9,77,5,2,61,37,23,84,3,13,0
Igor,0,0,0,0,0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,1,0,0.0,0.1,0.0,0.0,0.0,11,1.1,0,0.0,38,1,4,3,628,682,92.1,1,35,2,1,4,4,4,8,14,39,1
Iliman Ndiaye,3,0,3,3,0,1.8,1.8,1.3,3.2,0.17,0.0,0.17,0.17,0.17,0.1,0.08,0.18,0.1,0.18,20,8,40.0,1.12,0.45,0.15,0.38,45,2.52,3,0.17,318,54,108,49,389,475,81.9,13,28,11,5,37,19,15,52,4,16,1
Illia Zabarnyi,0,0,0,0,0,0.7,0.7,0.5,1.2,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,6,0,0.0,0.29,0.0,0.0,0.0,22,1.05,0,0.0,44,8,7,4,832,1022,81.4,9,79,5,0,32,20,21,53,16,101,2
Ismaila Sarr,4,3,7,4,0,3.9,3.9,4.7,8.6,0.26,0.2,0.46,0.26,0.46,0.26,0.31,0.57,0.26,0.57,33,20,60.6,2.18,1.32,0.12,0.2,64,4.22,6,0.4,274,74,27,8,257,381,67.5,24,12,23,3,13,8,5,18,4,17,0
Issa Diop,0,0,0,0,0,0.5,0.5,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.05,0.05,0.05,5,2,40.0,0.42,0.17,0.0,0.0,5,0.42,0,0.0,18,11,1,1,543,623,87.2,2,33,1,0,21,10,5,26,7,51,2
Jack Clarke,0,2,2,0,0,0.8,0.8,1.1,2.0,0.0,0.33,0.33,0.0,0.33,0.14,0.19,0.33,0.14,0.33,11,1,9.1,1.83,0.17,0.0,0.0,19,3.16,2,0.33,96,18,25,16,135,178,75.8,9,11,3,0,18,10,4,22,0,9,0
Jack Grealish,0,1,1,0,0,0.8,0.8,1.7,2.4,0.0,0.16,0.16,0.0,0.16,0.12,0.26,0.38,0.12,0.38,13,4,30.8,2.02,0.62,0.0,0.0,39,6.04,2,0.31,267,64,24,12,301,348,86.5,22,14,13,0,9,5,2,11,2,4,1
Jack Harrison,0,0,0,0,0,2.2,2.2,2.0,4.2,0.0,0.0,0.0,0.0,0.0,0.2,0.18,0.38,0.2,0.38,15,3,20.0,1.35,0.27,0.0,0.0,23,2.07,2,0.18,197,38,38,11,180,281,64.1,14,17,10,1,18,12,5,23,0,20,2
Jack Hinshelwood,1,0,1,1,0,0.7,0.7,0.3,1.0,0.11,0.0,0.11,0.11,0.11,0.08,0.03,0.11,0.08,0.11,7,3,42.9,0.75,0.32,0.14,0.33,20,2.15,2,0.21,133,11,6,1,410,495,82.8,7,17,4,0,12,9,4,16,2,14,1
Jack Stephens,0,0,0,0,0,0.3,0.3,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,2,0,0.0,0.23,0.0,0.0,0.0,10,1.13,0,0.0,75,5,3,0,576,619,93.1,2,40,5,0,15,10,5,20,6,32,2
Jack Taylor,1,0,1,1,0,0.5,0.5,0.5,1.1,0.23,0.0,0.23,0.23,0.23,0.13,0.13,0.25,0.13,0.25,12,4,33.3,2.8,0.93,0.08,0.25,17,3.96,1,0.23,55,4,4,2,194,232,83.6,5,22,7,0,8,3,4,12,1,13,0
Jacob Greaves,0,0,0,0,0,0.4,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,6,2,33.3,0.5,0.17,0.0,0.0,3,0.25,0,0.0,31,11,2,1,472,550,85.8,1,30,0,0,19,8,16,35,13,72,2
Jacob Murphy,3,6,9,3,0,2.4,2.4,5.6,7.9,0.25,0.49,0.74,0.25,0.74,0.19,0.45,0.65,0.19,0.65,24,8,33.3,1.96,0.65,0.13,0.38,42,3.44,8,0.66,281,41,29,12,316,454,69.6,23,27,21,5,13,10,8,21,0,12,0
Jacob Ramsey,0,2,2,0,0,1.0,1.0,1.6,2.6,0.0,0.23,0.23,0.0,0.23,0.11,0.17,0.29,0.11,0.29,12,3,25.0,1.35,0.34,0.0,0.0,32,3.6,4,0.45,196,36,23,17,276,325,84.9,9,13,8,0,13,7,6,19,2,3,0
Jaden Philogene Bidace,0,0,0,0,0,0.5,0.5,0.3,0.8,0.0,0.0,0.0,0.0,0.0,0.13,0.08,0.2,0.13,0.2,7,0,0.0,1.9,0.0,0.0,0.0,5,1.36,0,0.0,66,14,15,4,63,86,73.3,1,1,3,0,11,5,3,14,0,2,1
Jadon Sancho,2,4,6,2,0,1.2,1.2,2.5,3.6,0.19,0.37,0.56,0.19,0.56,0.11,0.23,0.34,0.11,0.34,14,4,28.6,1.31,0.37,0.14,0.5,42,3.93,9,0.84,323,67,60,33,385,459,83.9,20,14,27,0,5,4,0,5,0,3,1
Jahmai Simpson-Pusey,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,3,1,1,0,107,115,93.0,0,3,0,0,1,0,0,1,1,2,0
Jake O'Brien,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,2.05,0,0.0,3,0,3,1,24,29,82.8,0,3,1,0,3,2,0,3,0,1,0
Jakub Kiwior,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0,0,0.0,0.0,0.0,0.0,0.0,1,0.28,0,0.0,8,0,2,1,147,175,84.0,1,8,0,0,4,2,1,5,2,16,1
Jakub Moder,0,0,0,0,0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.45,1.45,0.0,1.45,0,0,0.0,0.0,0.0,0.0,0.0,4,32.73,0,0.0,9,1,0,0,18,22,81.8,3,0,1,1,1,0,0,1,0,3,0
Jakub Stolarczyk,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,111,148,75.0,0,1,0,0,1,0,0,1,0,2,0
James Bree,0,0,0,0,0,0.0,0.0,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.01,0.12,0.12,0.01,0.12,1,1,100.0,0.22,0.22,0.0,0.0,9,2.01,0,0.0,87,8,5,2,210,263,79.8,7,8,3,2,7,5,4,11,3,10,0
James Garner,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,2,0,0.0,0.71,0.0,0.0,0.0,5,1.78,0,0.0,26,1,5,2,68,102,66.7,1,6,1,1,10,8,4,14,2,9,0
James Hill,0,1,1,0,0,0.0,0.0,0.2,0.3,0.0,0.5,0.5,0.0,0.5,0.0,0.13,0.13,0.0,0.13,1,0,0.0,0.5,0.0,0.0,0.0,6,3.03,1,0.51,27,0,2,1,55,93,59.1,2,9,4,0,3,2,4,7,0,9,0
James Justin,2,1,3,2,0,1.3,1.3,0.4,1.6,0.1,0.05,0.16,0.1,0.16,0.07,0.02,0.09,0.07,0.09,19,5,26.3,0.99,0.26,0.11,0.4,22,1.15,1,0.05,238,27,22,5,711,910,78.1,7,48,8,3,35,21,28,63,7,86,2
James Maddison,8,4,12,8,0,4.8,4.8,2.7,7.5,0.6,0.3,0.89,0.6,0.89,0.36,0.2,0.56,0.36,0.56,33,16,48.5,2.45,1.19,0.24,0.5,63,4.69,13,0.97,426,58,49,24,682,848,80.4,26,74,27,5,19,11,11,30,3,15,0
James Mcatee,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.45,0.45,2,0,0.0,4.29,0.0,0.0,0.0,1,2.14,0,0.0,20,3,3,1,24,27,88.9,0,2,0,0,1,1,1,2,0,0,0
James Milner,0,0,0,0,0,0.2,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.21,0.09,0.21,2,0,0.0,1.07,0.0,0.0,0.0,8,4.26,0,0.0,31,4,1,1,55,73,75.3,4,3,1,1,5,2,2,7,2,2,1
James Tarkowski,0,0,0,0,0,0.7,0.7,1.4,2.1,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.11,0.04,0.11,9,2,22.2,0.45,0.1,0.0,0.0,27,1.36,2,0.1,72,36,7,5,632,781,80.9,10,54,8,0,46,27,22,68,29,117,2
James Ward-Prowse,0,1,1,0,0,0.1,0.1,1.1,1.2,0.0,0.23,0.23,0.0,0.23,0.01,0.25,0.26,0.01,0.26,2,1,50.0,0.45,0.23,0.0,0.0,10,2.25,2,0.45,47,1,0,0,156,197,153.0,4,18,2,0,5,1,5,10,2,8,0
Jamie Vardy,6,3,9,5,1,7.2,6.5,2.4,8.8,0.35,0.17,0.52,0.29,0.46,0.42,0.14,0.56,0.37,0.51,35,12,34.3,2.03,0.7,0.14,0.42,29,1.68,9,0.52,159,71,16,7,149,220,67.7,12,7,7,1,6,5,1,7,3,14,0
Jan Bednarek,0,0,0,0,0,0.0,0.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,1,0,0.0,0.06,0.0,0.0,0.0,13,0.77,0,0.0,29,7,3,3,1144,1220,93.8,3,60,0,0,20,11,35,55,24,98,3
Jan Paul van Hecke,0,1,1,0,0,0.8,0.8,0.9,1.7,0.0,0.06,0.06,0.0,0.06,0.04,0.05,0.09,0.04,0.09,10,2,20.0,0.56,0.11,0.0,0.0,35,1.96,2,0.11,98,20,8,3,1157,1292,89.6,10,127,6,3,24,17,16,40,13,72,2
Jannik Vestergaard,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,50.0,0.18,0.09,0.0,0.0,3,0.26,0,0.0,25,7,4,4,669,734,91.1,1,27,1,0,18,8,14,32,8,57,1
Jarell Quansah,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.39,0,0.0,18,2,2,1,151,170,88.8,0,9,0,0,9,7,3,12,3,10,0
Jarrad Branthwaite,0,0,0,0,0,0.3,0.3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,4,1,25.0,0.36,0.09,0.0,0.0,9,0.81,0,0.0,30,10,4,2,374,453,82.6,1,33,1,0,18,8,12,30,7,52,2
Jarrod Bowen,5,4,9,4,1,4.7,3.9,4.1,8.0,0.27,0.22,0.49,0.22,0.44,0.25,0.22,0.48,0.21,0.44,49,20,40.8,2.66,1.09,0.08,0.2,76,4.13,9,0.49,397,97,79,33,334,478,69.9,37,29,29,3,25,15,11,36,2,18,0
Jason Steele,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,101,112,90.2,0,0,0,0,0,0,0,0,0,1,0
Jay Stansfield,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
Jayden Meghoma,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,0,0,0,3,3,100.0,0,0,0,0,0,0,0,0,0,0,0
Jean-Clair Todibo,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,2,0,0.0,0.21,0.0,0.0,0.0,4,0.42,0,0.0,15,6,10,6,412,465,88.6,2,15,0,0,22,15,11,33,8,47,3
Jean-Philippe Mateta,6,1,7,5,1,6.9,6.1,2.0,8.0,0.34,0.06,0.4,0.28,0.34,0.39,0.11,0.5,0.34,0.45,40,12,30.0,2.26,0.68,0.13,0.42,37,2.09,5,0.28,207,58,24,8,181,279,64.9,19,19,6,0,9,6,1,10,1,17,0
Jean-Ricner Bellegarde,1,2,3,1,0,0.8,0.8,0.6,1.3,0.11,0.22,0.33,0.11,0.33,0.08,0.06,0.15,0.08,0.15,12,2,16.7,1.31,0.22,0.08,0.5,28,3.05,4,0.44,155,24,36,6,195,245,79.6,11,14,7,3,13,8,8,21,3,8,1
Jefferson Lerma,0,0,0,0,0,0.7,0.7,0.9,1.6,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.13,0.05,0.13,16,6,37.5,1.29,0.49,0.0,0.0,22,1.78,1,0.08,119,17,8,4,444,568,78.2,5,52,12,1,14,4,20,34,12,25,0
Jeffrey Schlupp,0,0,0,0,0,0.2,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.14,0.09,0.23,0.14,0.23,4,2,50.0,3.53,1.76,0.0,0.0,6,5.24,0,0.0,40,6,1,1,38,49,77.6,2,4,1,0,2,0,0,2,0,2,0
Jens Cajuste,0,0,0,0,0,0.1,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,3,0,0.0,0.3,0.0,0.0,0.0,13,1.29,0,0.0,98,5,18,11,300,369,81.3,5,22,2,0,22,9,10,32,3,13,1
Jeremy Doku,2,3,5,2,0,0.7,0.7,1.5,2.2,0.26,0.39,0.64,0.26,0.64,0.09,0.19,0.28,0.09,0.28,15,4,26.7,1.93,0.52,0.13,0.5,33,4.26,4,0.52,357,68,83,41,273,347,78.7,13,3,23,3,18,11,1,19,1,2,0
Jeremy Sarmiento,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2,0,0,0,6,6,100.0,0,0,0,0,0,0,0,0,0,0,0
Jesper Lindstrøm,0,0,0,0,0,1.7,1.7,1.2,2.9,0.0,0.0,0.0,0.0,0.0,0.23,0.16,0.39,0.23,0.39,24,7,29.2,3.23,0.94,0.0,0.0,28,3.78,0,0.0,197,24,25,6,162,246,65.9,12,8,6,4,23,11,6,29,3,7,0
Jhon Durán,7,0,7,7,0,4.8,4.8,0.2,5.0,1.05,0.0,1.05,1.05,1.05,0.71,0.03,0.74,0.71,0.74,29,15,51.7,4.34,2.24,0.24,0.47,17,2.54,1,0.15,114,45,13,3,107,151,70.9,4,10,1,0,8,7,0,8,0,12,0
Joachim Andersen,0,0,0,0,0,0.2,0.2,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,9,3,125.0,1.68,1.17,0.0,0.0,10,1.78,1,0.09,48,9,2,2,779,935,157.8,1,93,3,1,11,8,15,26,8,64,0
Joe Aribo,2,0,2,2,0,2.3,2.3,1.4,3.7,0.15,0.0,0.15,0.15,0.15,0.17,0.11,0.28,0.17,0.28,12,6,50.0,0.9,0.45,0.17,0.33,27,2.03,0,0.0,204,33,34,12,496,568,87.3,13,25,3,1,25,16,11,36,6,16,2
Joe Gomez,0,0,0,0,0,0.3,0.3,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,3,2,66.7,0.52,0.35,0.0,0.0,5,0.87,1,0.17,37,5,0,0,377,425,88.7,2,29,0,0,13,10,7,20,6,20,2
