player,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per90Minutes_Gls,Per90Minutes_Ast,Per90Minutes_G+A,Per90Minutes_G-PK,Per90Minutes_G+A-PK,Per90Minutes_xG,Per90Minutes_xAG,Per90Minutes_xG+xAG,Per90Minutes_npxG,Per90Minutes_npxG+xAG,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,SCA_SCA,SCA_SCA90,GCA_GCA,GCA_GCA90,Touches_Att3rd,Touches_AttPen,Take-Ons_Att,Take-Ons_Succ,Total_Cmp,Total_Att,Total_Cmp%,KP_,1/3_,PPA_,CrsPA_,Tackles_Tkl,Tackles_TklW,Int_,Tkl+Int_,Blocks_Sh,Clr_,Err_
Joe Lumley,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,106,151,70.2,0,2,0,0,0,0,0,0,0,3,3
Joe Willock,0,1,1,0,0,0.7,0.7,1.3,2.0,0.0,0.16,0.16,0.0,0.16,0.11,0.21,0.33,0.11,0.33,10,1,10.0,1.6,0.16,0.0,0.0,23,3.7,2,0.32,131,25,17,6,157,194,80.9,12,15,4,0,15,11,3,18,1,5,0
Joelinton,4,1,5,4,0,3.2,3.2,1.5,4.7,0.22,0.05,0.27,0.22,0.27,0.17,0.08,0.25,0.17,0.25,35,11,31.4,1.89,0.59,0.11,0.36,42,2.26,5,0.27,327,63,37,11,611,733,83.4,18,63,10,1,38,21,15,53,4,32,1
John McGinn,0,3,3,0,0,1.8,1.8,2.5,4.3,0.0,0.22,0.22,0.0,0.22,0.13,0.18,0.31,0.13,0.31,19,2,10.5,1.36,0.14,0.0,0.0,44,3.16,4,0.29,199,35,27,10,315,395,79.7,21,30,23,7,16,11,4,20,0,3,1
John Stones,2,0,2,2,0,0.4,0.4,0.1,0.5,0.54,0.0,0.54,0.54,0.54,0.12,0.02,0.14,0.12,0.14,2,2,100.0,0.54,0.54,1.0,1.0,7,1.9,1,0.27,60,4,0,0,231,256,90.2,2,31,0,0,5,2,3,8,0,9,1
Jonny Evans,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,1,0,0.0,0.31,0.0,0.0,0.0,2,0.62,0,0.0,11,2,1,1,174,196,88.8,0,9,1,0,7,5,4,11,1,13,0
Jordan Ayew,4,0,4,3,1,2.9,2.1,0.5,2.6,0.39,0.0,0.39,0.29,0.29,2.2,0.26,2.45,2.12,2.38,19,6,33.3,6.04,0.58,0.17,0.5,16,5.75,1,0.1,163,31,35,13,218,292,154.5,9,13,5,3,18,8,9,27,0,8,0
Jordan Pickford,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5,0.25,0,0.0,0,0,0,0,533,838,63.6,1,42,5,0,1,0,1,2,0,19,1
Jorge Cuenca,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,0,0,0,30,37,81.1,0,0,0,0,1,1,1,2,0,13,0
Jorginho,0,0,0,0,0,0.0,0.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.09,0.01,0.09,1,0,0.0,0.2,0.0,0.0,0.0,7,1.37,0,0.0,73,1,2,1,263,305,86.2,3,26,8,0,10,3,5,15,0,1,2
Joshua Acheampong,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,2,0,0.0,1.13,0.0,0.0,0.0,1,0.56,0,0.0,6,3,2,1,92,111,82.9,0,5,0,0,2,1,1,3,0,2,0
Joshua King,0,0,0,0,0,0.2,0.2,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.22,0.49,0.71,0.22,0.71,1,0,0.0,1.14,0.0,0.0,0.0,4,4.56,0,0.0,27,7,7,4,31,36,86.1,3,2,1,0,5,3,1,6,0,1,0
Joshua Zirkzee,3,1,4,3,0,3.0,3.0,1.4,4.4,0.36,0.12,0.48,0.36,0.48,0.37,0.17,0.53,0.37,0.53,17,8,47.1,2.05,0.96,0.18,0.38,22,2.65,2,0.24,127,36,17,6,163,229,71.2,11,15,4,0,7,4,3,10,4,2,0
José Sá,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3,0.21,0,0.0,0,0,6,6,290,476,60.9,1,12,1,0,2,2,0,2,0,6,1
Jota Silva,0,1,1,0,0,0.5,0.5,1.9,2.5,0.0,0.16,0.16,0.0,0.16,0.08,0.3,0.39,0.08,0.39,9,2,22.2,1.42,0.32,0.0,0.0,24,3.78,3,0.47,126,29,24,5,78,132,59.1,11,1,7,3,16,7,11,27,1,12,0
João Félix,1,1,2,1,0,2.2,2.2,1.0,3.2,0.25,0.25,0.5,0.25,0.5,0.55,0.24,0.79,0.55,0.79,20,5,25.0,4.97,1.24,0.05,0.2,18,4.46,3,0.74,119,29,29,10,164,192,85.4,6,22,7,0,8,3,3,11,0,2,0
João Gomes,2,1,3,2,0,1.6,1.6,0.5,2.1,0.11,0.05,0.16,0.11,0.16,0.08,0.03,0.11,0.08,0.11,17,6,35.3,0.9,0.32,0.12,0.33,31,1.65,2,0.11,245,18,24,13,743,884,84.0,12,74,13,0,62,31,17,79,2,20,0
João Pedro,5,5,10,4,1,3.7,2.9,2.3,5.2,0.4,0.4,0.81,0.32,0.73,0.3,0.18,0.48,0.24,0.42,26,11,42.3,2.1,0.89,0.15,0.36,37,2.98,6,0.48,280,72,43,18,278,378,73.5,17,24,20,2,9,6,5,14,0,8,0
Joël Veltman,0,0,0,0,0,0.1,0.1,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.01,0.03,3,0,0.0,0.21,0.0,0.0,0.0,17,1.19,1,0.07,162,8,13,3,512,647,79.1,4,38,6,3,34,25,14,48,6,50,0
Joško Gvardiol,4,0,4,4,0,2.9,2.6,1.5,4.1,0.21,0.0,0.21,0.21,0.21,0.15,0.08,0.23,0.13,0.21,30,9,30.0,1.54,0.46,0.13,0.44,45,2.31,4,0.21,535,62,22,12,1313,1438,91.3,18,129,15,1,29,20,21,50,11,58,4
Julian Araujo,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2,0.51,0,0.0,32,1,0,0,131,166,78.9,0,15,1,0,7,3,4,11,0,13,0
Julio Enciso,0,0,0,0,0,1.0,1.0,0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.31,0.07,0.38,0.31,0.38,20,11,55.0,6.14,3.38,0.0,0.0,12,3.7,0,0.0,113,18,20,10,98,149,65.8,5,13,4,1,0,0,0,0,0,1,0
Jurriën Timber,1,1,2,1,0,0.7,0.7,0.7,1.4,0.06,0.06,0.12,0.06,0.12,0.04,0.04,0.08,0.04,0.08,11,3,27.3,0.67,0.18,0.09,0.33,37,2.24,3,0.18,300,40,35,17,669,793,84.4,14,58,10,2,31,19,11,42,4,27,1
Justin Devenny,1,0,1,1,0,0.5,0.5,0.3,0.8,0.37,0.0,0.37,0.37,0.37,0.17,0.13,0.29,0.17,0.29,4,1,25.0,1.48,0.37,0.25,1.0,9,3.31,0,0.0,52,4,2,1,74,106,69.8,5,9,2,1,10,7,0,10,0,5,0
Justin Kluivert,7,2,9,1,6,7.7,3.0,2.5,5.5,0.5,0.14,0.64,0.07,0.21,0.55,0.18,0.73,0.21,0.39,34,14,41.2,2.42,1.0,0.03,0.07,48,3.42,7,0.5,306,80,34,11,256,363,70.5,21,20,13,3,15,8,11,26,0,15,1
Jørgen Strand Larsen,7,2,9,7,0,6.0,6.0,1.6,7.6,0.37,0.11,0.47,0.37,0.47,0.32,0.08,0.4,0.32,0.4,33,21,63.6,1.73,1.1,0.21,0.33,26,1.37,3,0.16,177,69,10,4,172,281,61.2,14,11,3,1,6,4,4,10,3,18,0
Kaelan Casey,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0
Kai Havertz,7,2,9,7,0,8.2,8.2,2.3,10.4,0.4,0.11,0.52,0.4,0.52,0.47,0.13,0.6,0.47,0.6,42,17,40.5,2.41,0.97,0.17,0.41,38,2.18,2,0.11,344,89,34,8,351,448,78.3,14,23,8,1,12,8,6,18,4,28,1
Kalvin Phillips,0,0,0,0,0,0.3,0.3,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,7,1,14.3,0.82,0.12,0.0,0.0,12,1.4,2,0.23,87,4,6,4,283,358,79.1,2,35,4,1,20,10,10,30,4,18,1
Kamaldeen Sulemana,0,0,0,0,0,0.4,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.16,0.15,0.16,6,1,16.7,2.14,0.36,0.0,0.0,8,2.86,0,0.0,69,11,19,7,72,83,86.7,1,2,4,2,6,5,3,9,0,1,0
Kaoru Mitoma,4,2,6,4,0,4.2,4.2,3.7,7.9,0.22,0.11,0.32,0.22,0.32,0.23,0.2,0.43,0.23,0.43,36,15,41.7,1.95,0.81,0.11,0.27,68,3.68,7,0.38,476,112,85,37,481,634,75.9,30,25,21,6,26,18,9,35,2,3,0
Kasey McAteer,0,1,1,0,0,0.6,0.6,0.4,0.9,0.0,0.25,0.25,0.0,0.25,0.14,0.09,0.23,0.14,0.23,6,2,33.3,1.5,0.5,0.0,0.0,12,3.01,1,0.25,72,14,9,1,86,125,68.8,5,5,2,1,10,7,1,11,1,8,0
Keane Lewis-Potter,1,2,3,1,0,2.2,2.2,1.5,3.7,0.05,0.11,0.16,0.05,0.16,0.12,0.08,0.2,0.12,0.2,18,10,55.6,0.98,0.55,0.06,0.1,38,2.07,6,0.33,292,48,57,20,479,596,80.4,13,24,22,7,28,15,8,36,4,36,1
Kenny Tete,0,2,2,0,0,1.0,1.0,0.7,1.8,0.0,0.14,0.14,0.0,0.14,0.07,0.05,0.13,0.07,0.13,18,2,11.1,1.28,0.14,0.0,0.0,23,1.64,3,0.21,232,26,16,7,576,706,81.6,5,53,6,4,41,27,28,69,6,36,0
Kepa Arrizabalaga,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3,0.21,0,0.0,0,0,0,0,326,440,74.1,1,4,0,0,0,0,0,0,0,7,2
Kevin De Bruyne,2,4,6,2,0,2.3,2.3,5.5,7.9,0.2,0.39,0.59,0.2,0.59,0.23,0.55,0.78,0.23,0.78,31,8,25.8,3.06,0.79,0.06,0.25,72,7.09,7,0.69,491,40,21,9,548,707,77.5,36,50,42,8,9,4,4,13,0,7,1
Kevin Schade,5,2,7,5,0,4.1,4.1,1.7,5.8,0.47,0.19,0.65,0.47,0.65,0.38,0.16,0.54,0.38,0.54,23,10,43.5,2.14,0.93,0.22,0.5,19,1.77,4,0.37,195,49,33,8,125,210,59.5,7,16,4,0,21,16,3,24,1,13,0
Kieran Tierney,0,0,0,0,0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.93,1.93,0.0,1.93,0,0,0.0,0.0,0.0,0.0,0.0,1,6.43,0,0.0,2,1,0,0,2,3,66.7,1,0,0,0,0,0,0,0,0,0,0
Kieran Trippier,0,0,0,0,0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,1,0,0.0,0.18,0.0,0.0,0.0,20,3.68,0,0.0,154,5,2,1,438,525,83.4,4,25,4,0,15,8,5,20,1,13,0
Kiernan Dewsbury-Hall,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,0,0,0.0,0.0,0.0,0.0,0.0,1,1.5,0,0.0,17,0,1,1,39,47,83.0,1,4,0,0,0,0,1,1,0,2,1
Kim Jisoo,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,3,0,0,0,24,27,88.9,0,1,0,0,0,0,0,0,0,2,0
Kobbie Mainoo,0,0,0,0,0,0.5,0.5,1.3,1.8,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.14,0.04,0.14,9,1,11.1,0.71,0.08,0.0,0.0,24,1.89,1,0.08,183,25,36,20,530,613,86.5,12,42,8,0,33,22,16,49,2,6,1
Konstantinos Mavropanos,0,0,0,0,0,0.9,0.9,0.4,1.3,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09,12,2,16.7,0.83,0.14,0.0,0.0,12,0.83,0,0.0,45,16,12,6,670,786,85.2,3,43,4,1,26,20,27,53,14,70,1
Kosta Nedeljković,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,16,0,2,1,36,42,85.7,0,4,0,0,7,5,0,7,0,3,0
Kostas Tsimikas,0,1,1,0,0,0.1,0.1,0.9,0.9,0.0,0.32,0.32,0.0,0.32,0.02,0.27,0.3,0.02,0.3,2,1,50.0,0.65,0.32,0.0,0.0,11,3.54,2,0.64,79,3,2,2,216,253,85.4,4,22,3,0,13,7,3,16,2,11,0
Kristoffer Ajer,0,0,0,0,0,0.5,0.5,0.7,1.2,0.0,0.0,0.0,0.0,0.0,0.06,0.09,0.15,0.06,0.15,3,2,66.7,0.38,0.25,0.0,0.0,9,1.13,2,0.25,67,14,9,4,265,340,77.9,3,22,3,3,9,7,6,15,1,23,0
Kyle Walker,0,0,0,0,0,0.1,0.1,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,5,2,40.0,0.46,0.19,0.0,0.0,17,1.58,0,0.0,228,5,6,3,724,826,87.7,7,63,7,4,17,10,3,20,4,13,1
Kyle Walker-Peters,0,2,2,0,0,0.4,0.4,2.4,2.8,0.0,0.11,0.11,0.0,0.11,0.02,0.13,0.15,0.02,0.15,14,5,35.7,0.75,0.27,0.0,0.0,32,1.7,4,0.21,316,41,55,20,958,1077,89.0,15,69,21,1,25,16,12,37,11,53,1
Lamare Bogarde,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0,0,0.0,0.0,0.0,0.0,0.0,7,2.96,0,0.0,22,1,3,2,120,138,87.0,1,16,1,0,8,4,1,9,0,4,0
Leandro Trossard,4,2,6,4,0,3.5,3.5,3.2,6.7,0.3,0.15,0.46,0.3,0.46,0.26,0.25,0.51,0.26,0.51,30,9,30.0,2.28,0.68,0.13,0.44,44,3.34,3,0.23,341,75,42,17,318,437,72.8,19,21,26,4,19,13,7,26,0,12,0
Leif Davis,1,2,3,1,0,0.7,0.7,3.4,4.1,0.05,0.1,0.14,0.05,0.14,0.03,0.16,0.2,0.03,0.2,11,2,18.2,0.52,0.1,0.09,0.5,68,3.24,4,0.19,355,32,30,11,619,860,72.0,40,23,20,9,35,20,16,51,4,55,1
Leny Yoro,0,0,0,0,0,0.6,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,3,1,33.3,0.81,0.27,0.0,0.0,2,0.54,0,0.0,11,5,0,0,205,224,91.5,0,9,0,0,10,3,8,18,1,10,0
Leon Bailey,1,2,3,1,0,1.3,1.3,1.4,2.7,0.1,0.2,0.29,0.1,0.29,0.12,0.14,0.26,0.12,0.26,20,4,20.0,1.96,0.39,0.05,0.25,30,2.94,4,0.39,258,54,44,17,223,311,71.7,13,11,18,2,5,3,3,8,0,9,0
Lesley Ugochukwu,0,0,0,0,0,0.3,0.3,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.1,0.05,0.1,2,0,0.0,0.33,0.0,0.0,0.0,9,1.49,0,0.0,56,8,9,6,209,242,86.4,4,22,4,1,21,10,3,24,5,9,0
Levi Colwill,0,1,1,0,0,0.4,0.4,0.9,1.3,0.0,0.05,0.05,0.0,0.05,0.02,0.04,0.06,0.02,0.06,5,1,20.0,0.25,0.05,0.0,0.0,23,1.15,3,0.15,69,17,6,3,1376,1533,89.8,7,98,6,2,19,13,24,43,18,66,1
Lewis Cook,1,3,4,1,0,0.6,0.6,3.2,3.8,0.05,0.16,0.22,0.05,0.22,0.03,0.17,0.2,0.03,0.2,10,2,20.0,0.54,0.11,0.1,0.5,61,3.28,4,0.22,286,13,9,4,711,928,76.6,35,93,15,3,47,28,26,73,6,33,0
Lewis Dunk,0,0,0,0,0,0.7,0.7,0.5,1.2,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.08,0.05,0.08,10,2,20.0,0.7,0.14,0.0,0.0,15,1.04,3,0.21,74,15,1,0,1078,1182,91.2,6,90,3,0,9,5,10,19,13,47,0
Lewis Hall,0,2,2,0,0,0.4,0.4,3.5,3.8,0.0,0.11,0.11,0.0,0.11,0.02,0.19,0.21,0.02,0.21,10,1,10.0,0.54,0.05,0.0,0.0,50,2.68,3,0.16,337,40,15,8,1046,1280,81.7,28,94,13,3,35,25,16,51,14,61,2
Lewis Miley,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,3,0,0,0,36,36,100.0,0,3,0,0,2,2,0,2,0,1,0
Liam Delap,8,2,10,6,2,6.2,4.6,1.6,6.2,0.47,0.12,0.59,0.35,0.47,0.37,0.09,0.46,0.27,0.37,33,16,48.5,1.95,0.94,0.18,0.38,38,2.24,5,0.3,184,50,46,19,107,175,61.1,17,8,5,0,7,5,2,9,0,16,0
Lisandro Martínez,1,1,2,1,0,1.2,1.2,1.1,2.3,0.06,0.06,0.11,0.06,0.11,0.07,0.07,0.13,0.07,0.13,14,5,35.7,0.8,0.28,0.07,0.2,24,1.37,2,0.11,109,16,6,5,1086,1214,89.5,9,79,15,2,34,20,31,65,8,52,1
Lloyd Kelly,0,1,1,0,0,0.4,0.4,0.5,0.8,0.0,0.3,0.3,0.0,0.3,0.11,0.14,0.25,0.11,0.25,2,0,0.0,0.6,0.0,0.0,0.0,2,0.6,1,0.3,13,2,3,2,138,170,81.2,2,5,1,1,5,4,1,6,4,17,0
Lucas Bergvall,0,0,0,0,0,0.1,0.1,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,2,0,0.0,0.47,0.0,0.0,0.0,7,1.64,1,0.23,93,4,18,10,251,283,88.7,3,18,5,2,18,11,9,27,6,11,2
Lucas Digne,0,2,2,0,0,0.7,0.7,3.2,3.9,0.0,0.11,0.11,0.0,0.11,0.04,0.18,0.22,0.04,0.22,10,3,30.0,0.57,0.17,0.0,0.0,46,2.6,4,0.23,405,24,14,8,672,901,74.6,26,27,22,14,40,24,24,64,3,52,1
Lucas Paquetá,4,0,4,2,2,4.2,2.7,2.0,4.6,0.25,0.0,0.25,0.12,0.12,0.26,0.12,0.38,0.16,0.28,27,3,11.1,1.66,0.18,0.07,0.67,53,3.26,5,0.31,261,37,21,10,646,839,77.0,23,80,24,1,42,27,11,53,2,23,3
Luis Díaz,8,2,10,8,0,5.3,5.3,2.0,7.3,0.61,0.15,0.76,0.61,0.76,0.4,0.15,0.55,0.4,0.55,38,17,44.7,2.87,1.29,0.21,0.47,65,4.92,10,0.76,332,82,59,22,361,421,85.7,26,29,19,2,14,7,3,17,0,4,1
Luis Guilherme,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.12,0.07,0.12,1,0,0.0,2.14,0.0,0.0,0.0,4,8.57,0,0.0,12,1,3,0,13,15,86.7,1,0,1,1,1,0,1,2,0,1,0
Luis Sinisterra,1,1,2,1,0,1.1,1.1,1.0,2.1,0.43,0.43,0.87,0.43,0.87,0.48,0.44,0.92,0.48,0.92,12,6,50.0,5.19,2.6,0.08,0.17,13,5.57,1,0.43,79,18,16,7,54,70,77.1,9,4,1,1,5,1,0,5,0,5,0
Luke Shaw,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,5,0,0,0,89,101,88.1,0,6,0,0,2,2,1,3,0,1,0
Luke Thomas,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,1,0,0.0,0.5,0.0,0.0,0.0,1,0.5,0,0.0,21,4,0,0,85,109,78.0,1,7,1,0,5,5,2,7,1,3,0
Luke Woolfenden,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.12,0.0,0.0,0.0,0,0.0,0,0.0,7,2,0,0,321,362,88.7,0,20,0,0,5,2,16,21,8,40,0
Mads Hermansen,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2,0.13,0,0.0,0,0,1,1,382,596,64.1,0,9,0,0,1,1,0,1,0,8,2
Mads Roerslev,0,2,2,0,0,0.2,0.2,2.7,2.9,0.0,0.2,0.2,0.0,0.2,0.02,0.26,0.28,0.02,0.28,4,2,50.0,0.39,0.2,0.0,0.0,17,1.66,2,0.2,134,18,14,5,374,476,78.6,12,31,8,3,15,8,3,18,5,28,0
Malo Gusto,0,1,1,0,0,1.5,1.5,0.9,2.4,0.0,0.07,0.07,0.0,0.07,0.11,0.06,0.17,0.11,0.17,17,2,11.8,1.23,0.15,0.0,0.0,32,2.32,3,0.22,289,33,10,3,775,894,86.7,12,74,10,4,32,21,14,46,6,27,2
Manuel Akanji,0,0,0,0,0,0.5,0.5,0.4,0.9,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,9,1,11.1,0.56,0.06,0.0,0.0,31,1.92,2,0.12,318,10,2,2,1178,1257,93.7,9,126,11,2,15,10,6,21,8,47,2
Manuel Ugarte Ribeiro,0,0,0,0,0,0.3,0.3,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.08,0.03,0.08,4,0,0.0,0.42,0.0,0.0,0.0,19,2.0,0,0.0,92,5,14,7,395,438,90.2,6,32,3,1,42,24,15,57,3,12,1
Marc Cucurella,1,1,2,1,0,0.6,0.6,1.0,1.5,0.06,0.06,0.12,0.06,0.12,0.03,0.06,0.09,0.03,0.09,9,2,22.2,0.53,0.12,0.11,0.5,31,1.82,2,0.12,243,32,6,1,881,989,89.1,10,67,5,1,28,20,16,44,7,43,3
Marc Guiu,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,5,0,1,0,4,8,50.0,0,0,0,0,0,0,0,0,0,0,0
Marc Guéhi,3,1,4,3,0,1.5,1.5,0.5,2.0,0.15,0.05,0.2,0.15,0.2,0.08,0.03,0.1,0.08,0.1,10,5,50.0,0.5,0.25,0.3,0.6,19,0.95,2,0.1,69,16,11,9,891,1071,83.2,7,74,7,2,33,16,10,43,18,97,1
Marcos Senesi,0,0,0,0,0,0.8,0.8,0.4,1.2,0.0,0.0,0.0,0.0,0.0,0.08,0.04,0.12,0.08,0.12,2,0,0.0,0.2,0.0,0.0,0.0,16,1.57,1,0.1,63,12,8,5,440,578,76.1,5,66,12,3,33,21,11,44,6,42,0
Marcus Harness,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2,4.0,0,0.0,13,3,1,0,10,16,62.5,0,0,2,0,1,0,0,1,1,1,0
Marcus Rashford,4,1,5,4,0,1.7,1.7,2.1,3.8,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35,16,9,56.3,1.47,0.83,0.25,0.44,29,2.67,1,0.09,222,34,39,9,253,343,73.8,15,13,16,8,7,4,4,11,0,7,0
Marcus Tavernier,1,4,5,1,0,4.1,4.1,2.6,6.7,0.08,0.32,0.39,0.08,0.39,0.32,0.2,0.53,0.32,0.53,32,9,28.1,2.53,0.71,0.03,0.11,61,4.82,8,0.63,352,32,33,13,362,504,71.8,30,45,20,7,31,18,3,34,0,8,0
Mario Lemina,1,3,4,1,0,1.4,1.4,1.1,2.5,0.07,0.2,0.26,0.07,0.26,0.09,0.07,0.17,0.09,0.17,18,5,27.8,1.19,0.33,0.06,0.2,26,1.71,5,0.33,119,18,16,10,493,613,80.4,10,43,13,4,51,31,27,78,7,50,3
Mark Flekken,0,1,1,0,0,0.0,0.0,0.2,0.2,0.0,0.05,0.05,0.0,0.05,0.0,0.01,0.01,0.0,0.01,0,0,0.0,0.0,0.0,0.0,0.0,3,0.15,1,0.05,0,0,1,1,744,1004,74.1,1,28,1,0,2,2,0,2,0,19,3
Mark Travers,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,100,142,70.4,0,3,0,0,0,0,0,0,0,5,0
Martial Godo,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,6,3,2,0,3,5,60.0,0,0,0,0,0,0,1,1,0,0,0
Martin Dúbravka,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,165,201,82.1,0,0,0,0,0,0,0,0,0,0,0
Martin Ødegaard,1,3,4,0,1,2.9,2.1,2.4,4.5,0.08,0.24,0.32,0.0,0.24,0.24,0.19,0.43,0.17,0.36,20,6,30.0,1.62,0.49,0.0,0.0,63,5.12,9,0.73,404,62,29,15,570,679,83.9,31,63,45,5,14,7,2,16,0,1,0
Mason Holgate,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1,0,0,0,2,2,100.0,0,0,0,0,0,0,0,0,0,0,0
