ID,Name,Team,Pos,Price,16_pts,17_pts,18_pts,19_pts,20_pts,21_pts,22_pts,23_pts,24_pts,25_pts,26_pts,27_pts,28_pts,29_pts,30_pts,31_pts,32_pts,33_pts,34_pts,35_pts,36_pts,37_pts,38_pts,tba_pts
562,Podence,WOL,MID,5.5,1.57806,1.63537,1.68892,1.53191,1.67007,1.48548,1.50412,1.40115,1.60293,1.42556,1.57811,1.7094,1.7832,1.71835,1.81127,1.50345,1.67661,1.59711,1.80439,1.39063,1.59725,1.57891,1.65368,0
563,R.Gomes,WOL,MID,5.2,1.5447,1.54852,1.4782,1.44721,1.56704,1.39686,1.37904,1.36514,1.49432,1.28472,1.38502,1.47221,1.57096,1.65842,1.60978,1.39697,1.49021,1.44554,1.69398,1.32004,1.49806,1.45468,1.55831,0
564,S.Bueno,WOL,DEF,4.3,1.79941,1.95249,1.78683,2.17295,1.83205,2.10848,2.14254,1.86834,1.83372,2.13937,1.95088,1.80433,1.76142,1.93062,1.86615,1.81584,1.88061,2.03594,1.9129,2.22252,1.83196,1.98666,1.81942,0
565,Sarabia,WOL,MID,5.1,0.53959,0.68548,0.74684,0.76121,0.84096,0.72701,0.72024,0.70787,0.81237,0.65717,0.72255,0.78635,0.84293,0.88949,0.88103,0.74812,0.79885,0.75709,0.92879,0.68671,0.80789,0.75579,0.83702,0
566,"Strand Larsen",WOL,FWD,5.6,2.27141,2.32625,2.2076,2.08657,2.29081,2.0369,1.99853,2.02259,2.17047,1.86076,2.08018,2.17959,2.33962,2.48801,2.30328,2.15235,2.15403,2.13587,2.38971,1.8821,2.18711,2.16686,2.28499,0
567,Toti,WOL,DEF,4.3,2.14712,2.27911,2.14135,2.53931,2.20139,2.46447,2.5036,2.23215,2.18746,2.50454,2.27331,2.15946,2.1207,2.24371,2.23566,2.10045,2.24784,2.37595,2.29881,2.59972,2.18991,2.32015,2.18526,0
568,Muric,IPS,GK,4.4,3.86186,3.6855,4.65826,3.58683,4.17666,3.43203,3.80302,5.0226,3.00219,4.41338,3.60996,4.35605,3.95925,3.29998,4.26398,3.2954,4.37832,3.41221,4.28312,4.00227,3.24622,3.74913,3.3399,0
569,Jaden,AVL,MID,5.3,1.26062,1.20639,1.24721,1.3286,1.53617,1.27614,1.12323,1.44539,1.40318,1.36577,1.30266,1.3152,1.3553,1.2333,1.25411,1.4052,1.54222,1.39096,1.16408,1.30329,1.23684,1.32191,1.30459,0
570,A.Fatawu,LEI,MID,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02349,0
571,Sávio,MCI,MID,6.5,2.40941,2.15197,2.6343,2.37597,2.81645,2.36861,2.25161,2.50462,1.90783,2.65035,2.31729,2.25397,2.17812,2.54343,2.97655,2.23369,2.55487,2.09926,2.57693,2.81147,2.69086,2.67397,2.26676,0
