ID,Name,Team,Pos,Price,16_pts,17_pts,18_pts,19_pts,20_pts,21_pts,22_pts,23_pts,24_pts,25_pts,26_pts,27_pts,28_pts,29_pts,30_pts,31_pts,32_pts,33_pts,34_pts,35_pts,36_pts,37_pts,38_pts,tba_pts
632,Ogbene,IPS,MID,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02302,0
633,Merino,ARS,MID,6,1.88399,1.75971,1.8583,1.83174,1.7072,1.77833,1.79816,1.89165,1.63661,1.86855,1.94053,1.71489,1.75443,1.76705,1.75389,1.68967,1.85938,1.73005,1.84006,1.88093,1.52912,1.86235,2.0529,0
634,G.Nunes,BRE,MID,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635,"El Khannouss",LEI,MID,4.8,1.79278,2.13737,1.56342,1.76038,1.66317,1.95895,1.872,1.71625,1.66968,1.73093,1.97325,1.80827,1.63759,1.87501,1.57085,1.97297,1.66625,1.79302,1.82178,2.00491,1.67765,1.96513,1.64401,0
636,Chiesa,LIV,MID,6.8,0.91281,1.21523,1.61128,1.52188,1.42341,1.38427,1.49885,1.54705,1.35046,1.60985,1.28084,1.52826,1.54627,1.38159,1.5281,1.43757,1.6111,1.50315,1.45037,1.34659,1.26853,1.38611,1.48513,1.33636
637,Meupiyou,WOL,DEF,4,0.27175,0.39776,0.40128,0.53108,0.43468,0.51325,0.52295,0.44654,0.43523,0.52287,0.46862,0.42737,0.41466,0.46084,0.44371,0.42986,0.44882,0.49232,0.45649,0.546,0.43488,0.47844,0.43113,0
638,"Oulad M'hand",ARS,MID,4.5,0.01193,0.01156,0.01155,0.01177,0.0111,0.01136,0.0113,0.01208,0.01069,0.01224,0.01209,0.01123,0.01146,0.0112,0.01125,0.01133,0.01184,0.01102,0.01188,0.01192,0.01029,0.01179,0.01301,0
639,Setford,ARS,GK,4.5,0.00679,0.00839,0.00623,0.00916,0.00887,0.00771,0.007,0.00818,0.00813,0.00793,0.00712,0.00807,0.00927,0.00766,0.00728,0.00849,0.00691,0.00729,0.00714,0.00731,0.01073,0.00787,0.00967,0
640,Swinkels,AVL,DEF,4,0.01625,0.016,0.01822,0.01544,0.01621,0.01589,0.0192,0.01575,0.01693,0.01508,0.0167,0.01699,0.01921,0.01626,0.01693,0.01543,0.01636,0.01617,0.01939,0.01517,0.01664,0.01594,0.01748,0
641,Zych,AVL,GK,4,0.00711,0.00765,0.00811,0.00687,0.00688,0.00752,0.0089,0.00667,0.00721,0.00582,0.00719,0.00742,0.00816,0.0074,0.00788,0.00659,0.00864,0.0074,0.00896,0.00683,0.00807,0.00724,0.00826,0
642,André,WOL,MID,5,1.81955,1.8908,1.79854,1.78813,1.87422,1.74938,1.72891,1.7168,1.79238,1.65414,1.73721,1.79053,1.87898,1.97284,1.89147,1.72711,1.80271,1.79147,1.96644,1.67448,1.80438,1.80786,1.86522,0
643,Casey,WHU,DEF,4,0.0198,0.01836,0.01947,0.01934,0.02308,0.01804,0.01796,0.02183,0.0221,0.01819,0.02285,0.01926,0.01922,0.0189,0.02014,0.01886,0.0221,0.01716,0.02014,0.01895,0.0208,0.01834,0.01816,0
644,Umeh-Chibueze,CRY,MID,4.4,8.0E-5,0.0003,0.00064,0.00092,0.00096,0.00111,0.00109,0.00107,0.00104,0.00108,0.00104,0.00102,0.00104,0.00101,0.00118,0.00103,0.00095,0.00108,0.00093,0.00108,0.00104,0.0011,0.00093,0
645,Devenny,CRY,MID,4.5,1.34259,1.31887,1.34387,1.49122,1.39731,1.48429,1.46191,1.47071,1.39668,1.48184,1.40476,1.40962,1.44024,1.35847,1.56355,1.41738,1.29282,1.48082,1.2666,1.47869,1.39595,1.50994,1.27057,0
646,Agbinone,CRY,MID,4.5,0.20848,0.19978,0.20693,0.22583,0.20933,0.23197,0.22773,0.22241,0.21598,0.22442,0.21741,0.21087,0.21538,0.20909,0.24603,0.21286,0.19714,0.2238,0.19248,0.22386,0.21579,0.22781,0.19326,0
647,Rodney,CRY,MID,4.5,0.00049,0.00047,0.00048,0.00053,0.00049,0.00054,0.00053,0.00052,0.0005,0.00052,0.00051,0.0005,0.00051,0.00049,0.00057,0.0005,0.00046,0.00052,0.00045,0.00052,0.0005,0.00053,0.00045,0
648,Wheatley,MUN,FWD,4.5,0.01865,0.02319,0.02513,0.02249,0.01836,0.02488,0.02197,0.02314,0.02393,0.02193,0.02316,0.02273,0.01955,0.02562,0.02279,0.0195,0.02116,0.02393,0.02187,0.02272,0.0237,0.02053,0.02168,0
649,Meghoma,BRE,DEF,4,0.02428,0.02018,0.02213,0.02073,0.0214,0.02093,0.02126,0.02221,0.02084,0.0227,0.02173,0.01925,0.02021,0.02176,0.02383,0.02183,0.0251,0.02019,0.02125,0.01961,0.01996,0.01984,0.02213,0
650,Lacroix,CRY,DEF,4.5,2.54119,2.34638,2.50694,2.29324,2.46671,2.58109,2.64689,2.36739,2.62115,2.31594,2.60663,2.3526,2.33157,2.67399,2.60631,2.35462,2.75551,2.4265,2.71958,2.38349,2.76119,2.43021,2.65671,0
651,Mangala,EVE,MID,5,1.70478,1.77477,1.73282,1.88199,1.80441,1.78989,1.80828,1.81588,1.96875,1.88407,1.80502,1.90812,1.95089,1.89064,1.70721,1.73187,1.83522,1.73014,1.79753,1.81657,1.87858,1.89419,1.81947,1.73829
652,Ugarte,MUN,MID,4.9,1.61067,2.19807,1.90935,2.22505,1.67619,2.26519,2.16357,1.84963,2.23378,1.83766,1.82027,2.20253,2.0252,1.94566,1.80735,2.04065,1.78899,2.29036,1.77674,1.87987,2.28224,1.7687,2.15637,0
653,Morato,NFO,DEF,4.5,1.58997,1.919,1.63006,1.60459,1.71878,1.64576,1.51244,1.6715,1.58833,1.73948,1.81546,1.60168,1.61878,1.55311,1.54493,1.82826,1.53511,1.88017,1.58476,1.71032,1.68583,1.75521,1.69514,0
654,C.Soler,WHU,MID,5,1.45259,1.51401,1.68035,1.38607,1.31384,1.45419,1.54282,1.39725,1.37695,1.54419,1.27561,1.68213,1.54014,1.42327,1.54078,1.55869,1.27791,1.57074,1.39905,1.47258,1.44825,1.55376,1.39194,0
655,Forbs,WOL,MID,5.5,0.59237,0.6221,0.57041,0.58384,0.60834,0.5583,0.5515,0.52269,0.57919,0.50402,0.5539,0.56881,0.60996,0.68479,0.62751,0.56744,0.57649,0.58179,0.66254,0.52427,0.58017,0.58327,0.6048,0
656,Young,AVL,MID,4.5,0.01196,0.01138,0.01183,0.01212,0.0135,0.01206,0.01094,0.01287,0.01286,0.0123,0.01193,0.01231,0.01253,0.0115,0.01182,0.01268,0.01385,0.01255,0.0112,0.01198,0.01172,0.0121,0.01221,0
657,Kacurri,ARS,DEF,4,0.01614,0.01855,0.01653,0.02098,0.01848,0.01746,0.01694,0.01848,0.01753,0.01814,0.01727,0.01775,0.01909,0.01829,0.01663,0.01735,0.01678,0.01667,0.01657,0.01739,0.02028,0.01772,0.01786,0
658,Heaven,ARS,DEF,4,0.01614,0.01855,0.01653,0.02098,0.01848,0.01746,0.01694,0.01848,0.01753,0.01814,0.01727,0.01775,0.01909,0.01829,0.01663,0.01735,0.01678,0.01667,0.01657,0.01739,0.02028,0.01772,0.01786,0
659,Kabia,ARS,MID,4.5,0.01536,0.01482,0.01487,0.01509,0.01424,0.01461,0.01454,0.01548,0.01375,0.0157,0.01556,0.0144,0.0147,0.01442,0.01447,0.01454,0.01523,0.01412,0.01529,0.01534,0.01321,0.01517,0.01667,0
660,Jaros,LIV,GK,4,0.00866,0.0105,0.00872,0.00958,0.00859,0.00901,0.01036,0.00735,0.01024,0.00832,0.01139,0.00939,0.00753,0.01065,0.00805,0.01,0.00845,0.00884,0.00919,0.01056,0.00866,0.01,0.00849,0.00954
661,Yogane,BRE,MID,4.5,0.02156,0.02342,0.02184,0.02092,0.02558,0.02103,0.02124,0.02273,0.02234,0.02373,0.02407,0.02348,0.02223,0.02165,0.02185,0.02204,0.0202,0.02238,0.02208,0.02222,0.02167,0.02212,0.02376,0
662,Nichols,ARS,DEF,4,0.02691,0.03105,0.02755,0.03511,0.03093,0.02912,0.02824,0.03093,0.02925,0.03037,0.02879,0.0297,0.03195,0.03051,0.02773,0.02904,0.02798,0.02789,0.02762,0.02899,0.03393,0.02955,0.0299,0
663,Samuels,BHA,DEF,4,0.03374,0.03876,0.03418,0.04096,0.0354,0.03408,0.03903,0.03287,0.03629,0.03728,0.03654,0.03542,0.03388,0.04329,0.03451,0.03793,0.03619,0.04289,0.03518,0.0361,0.03779,0.03631,0.0421,0
664,Pond,WOL,DEF,3.9,0.24775,0.2741,0.24663,0.31213,0.2538,0.30155,0.3074,0.26143,0.25429,0.30756,0.27478,0.24962,0.24174,0.26955,0.25912,0.25144,0.26249,0.28889,0.26661,0.32134,0.25408,0.28056,0.25168,0
665,Butler-Oyedeji,ARS,FWD,4.5,0.0292,0.02788,0.02724,0.02721,0.02641,0.02573,0.02598,0.03008,0.02339,0.03066,0.02839,0.0273,0.02725,0.02425,0.02625,0.02773,0.02817,0.02751,0.02866,0.02778,0.02202,0.02694,0.03392,0
666,Kporha,CRY,DEF,4,0.24234,0.2263,0.23817,0.20528,0.23846,0.23773,0.24856,0.21802,0.25042,0.20944,0.24757,0.22026,0.21468,0.2613,0.23397,0.22007,0.27831,0.22612,0.27556,0.21986,0.2705,0.22435,0.26635,0
667,Fletcher,MUN,MID,4.5,0.04043,0.04566,0.04645,0.04516,0.03954,0.04602,0.04359,0.04436,0.04554,0.04406,0.04352,0.04424,0.04076,0.04705,0.04315,0.04097,0.04269,0.04655,0.04231,0.04525,0.0463,0.04213,0.04329,0
668,Cahill,BHA,GK,3.9,0.0082,0.00917,0.00792,0.01018,0.00836,0.00772,0.01003,0.00778,0.00863,0.00879,0.01048,0.00839,0.00836,0.01087,0.00803,0.00901,0.00842,0.0099,0.00816,0.00905,0.00876,0.00904,0.01003,0
669,Davies,LIV,GK,4,0.00688,0.00831,0.00694,0.0076,0.00683,0.00716,0.00821,0.00587,0.00812,0.00663,0.009,0.00745,0.00601,0.00843,0.00641,0.00793,0.00672,0.00703,0.00729,0.00836,0.00688,0.00793,0.00675,0.00757
670,Amass,MUN,DEF,4,0.01054,0.00863,0.00921,0.00879,0.01009,0.00785,0.0084,0.0094,0.00822,0.01026,0.00864,0.0082,0.00862,0.00904,0.00884,0.0087,0.00991,0.00856,0.00905,0.01045,0.00857,0.0101,0.0084,0
671,Wright,MCI,MID,4.5,0.00126,0.00124,0.00133,0.00136,0.00135,0.00131,0.00123,0.00125,0.00114,0.00132,0.00121,0.00128,0.00125,0.00127,0.00142,0.00128,0.00133,0.00126,0.00126,0.00136,0.00145,0.00133,0.00129,0
672,Simpson-Pusey,MCI,DEF,4,0.30043,0.36561,0.29535,0.33127,0.31601,0.38307,0.30407,0.33414,0.38239,0.32401,0.32524,0.3759,0.32379,0.30932,0.32536,0.34841,0.30301,0.31649,0.30956,0.31584,0.32646,0.31799,0.34454,0
673,Fitzgerald,MUN,MID,4.5,0.07072,0.07998,0.08139,0.0791,0.06912,0.0806,0.07634,0.07767,0.07971,0.07715,0.0761,0.07754,0.07125,0.08236,0.07553,0.07166,0.0747,0.08158,0.07403,0.07927,0.08115,0.07372,0.07584,0
674,Maghoma,BRE,MID,4.5,0.78199,0.85058,0.78718,0.75364,0.93202,0.75667,0.76433,0.82371,0.80669,0.861,0.87603,0.85119,0.80073,0.78077,0.78881,0.79405,0.72485,0.80749,0.79754,0.80271,0.77867,0.79844,0.86104,0
675,Wilson-Esbrand,MCI,DEF,4,0.10864,0.13206,0.10686,0.11985,0.11426,0.13835,0.11007,0.12069,0.13799,0.1171,0.11749,0.13576,0.11711,0.11183,0.11762,0.12593,0.10959,0.1145,0.11192,0.1142,0.1182,0.11495,0.12455,0
676,Marsh,CRY,FWD,4.5,0.08018,0.07123,0.07954,0.09043,0.07364,0.09306,0.08987,0.08553,0.08271,0.08866,0.08412,0.07889,0.08271,0.07699,0.10297,0.07995,0.06793,0.08436,0.06531,0.08586,0.07975,0.08701,0.06687,0
677,Scarles,WHU,DEF,4,0.00128,0.00119,0.00126,0.00125,0.00149,0.00117,0.00117,0.00141,0.00143,0.00118,0.00148,0.00125,0.00125,0.00122,0.00131,0.00123,0.00143,0.00112,0.0013,0.00123,0.00135,0.00119,0.00118,0
678,Bates,EVE,MID,4.5,0.16516,0.18084,0.16941,0.19218,0.17736,0.18252,0.18324,0.17904,0.20512,0.1862,0.18216,0.19,0.19512,0.19544,0.1655,0.17099,0.18096,0.1721,0.17662,0.18673,0.18612,0.19392,0.17895,0.17406
679,Broggio,AVL,MID,4.5,0.14696,0.13934,0.14531,0.14863,0.16597,0.14794,0.13405,0.15814,0.15857,0.15109,0.14636,0.1512,0.15438,0.14091,0.14542,0.15555,0.17096,0.15403,0.13754,0.14682,0.14403,0.14832,0.15008,0
680,Kinsey,BOU,DEF,4,0.00155,0.00171,0.00149,0.00169,0.00145,0.00181,0.00178,0.00152,0.00159,0.0016,0.00155,0.00165,0.00184,0.0015,0.00148,0.0017,0.00149,0.00166,0.00147,0.00187,0.00152,0.00189,0.00159,0
681,McConville,BHA,DEF,4,0.209,0.23783,0.21164,0.25085,0.21803,0.2092,0.23927,0.20386,0.22254,0.22985,0.22476,0.21915,0.20944,0.26471,0.2133,0.2326,0.22438,0.26283,0.21789,0.22318,0.23204,0.2237,0.2579,0
682,Edozie,WOL,MID,4.5,0.17614,0.18544,0.17175,0.17371,0.18123,0.1682,0.166,0.16115,0.17214,0.15564,0.1667,0.17102,0.18165,0.19749,0.18437,0.16712,0.17279,0.17365,0.19351,0.15925,0.17318,0.17501,0.18018,0
683,Olusesi,TOT,MID,4.5,0.15625,0.12931,0.13444,0.14593,0.14139,0.1227,0.1354,0.15239,0.14116,0.13533,0.13218,0.12785,0.14297,0.13827,0.13121,0.14406,0.14496,0.14277,0.12295,0.14466,0.14235,0.13287,0.13642,0
684,Hardy,TOT,DEF,4,0.1916,0.19002,0.18964,0.18482,0.18946,0.22319,0.1854,0.19038,0.22395,0.17579,0.17829,0.18699,0.18601,0.20167,0.21623,0.16977,0.19776,0.18108,0.21592,0.20268,0.17735,0.21373,0.18094,0
685,Slater,BHA,DEF,4,0.28939,0.32959,0.29306,0.34739,0.30171,0.28994,0.33145,0.28233,0.30834,0.31812,0.31174,0.30343,0.28995,0.36641,0.29531,0.32224,0.31075,0.36405,0.30173,0.30898,0.32163,0.30957,0.35717,0
686,Mayers,WHU,DEF,4,0.33271,0.31009,0.32898,0.32551,0.38637,0.30469,0.304,0.36639,0.37062,0.30787,0.38236,0.32639,0.32469,0.31798,0.33933,0.31881,0.36993,0.29108,0.33848,0.31971,0.34961,0.31039,0.30589,0
687,Winterburn,BOU,MID,4.5,0.25331,0.23886,0.2481,0.24059,0.2495,0.22828,0.23129,0.24892,0.22533,0.27196,0.25457,0.23144,0.23898,0.24749,0.242,0.25173,0.23487,0.24066,0.23586,0.21342,0.23647,0.21894,0.2659,0
688,Nyoni,LIV,MID,4.5,0.00024,0.00024,0.00027,0.00025,0.00024,0.00024,0.00025,0.00024,0.00023,0.00026,0.00022,0.00025,0.00025,0.00023,0.00025,0.00024,0.00025,0.00026,0.00024,0.00023,0.00022,0.00023,0.00025,0.00024
689,Williams-Barnett,TOT,MID,4.5,0.21174,0.17472,0.18195,0.19729,0.19112,0.16591,0.18312,0.20604,0.19117,0.18286,0.17904,0.17272,0.19325,0.18718,0.17756,0.19471,0.19637,0.19296,0.16623,0.1959,0.19236,0.17986,0.18439,0
690,Amissah,FUL,DEF,4,0.34679,0.27288,0.34744,0.29887,0.28429,0.32595,0.31228,0.28243,0.34116,0.29098,0.28499,0.31811,0.31732,0.29971,0.35845,0.30516,0.3119,0.31354,0.3084,0.34348,0.27797,0.35998,0.30028,0
691,Kukonki,MUN,DEF,4,0.41806,0.34632,0.36749,0.35261,0.40026,0.31649,0.33676,0.37447,0.33032,0.40776,0.3443,0.32949,0.34415,0.36077,0.35216,0.34748,0.39389,0.34428,0.36018,0.41567,0.34443,0.40111,0.33701,0
692,Nallo,LIV,DEF,4,0.01712,0.02102,0.01837,0.01942,0.01693,0.01816,0.02143,0.01705,0.01857,0.01782,0.02154,0.01824,0.01639,0.02044,0.01669,0.01931,0.01783,0.01861,0.01795,0.02068,0.01778,0.01889,0.0171,0.01776
693,O'Brien-Whitmarsh,SOU,MID,4.5,0.39266,0.39876,0.4193,0.39873,0.40953,0.39584,0.38759,0.40803,0.38149,0.41257,0.39361,0.37823,0.35399,0.42137,0.41047,0.3961,0.39135,0.41737,0.38859,0.42276,0.36838,0.39,0.36578,0
