can_transact,can_select,element_type,ep_next,ep_this,event_points,form,id,news,news_added,now_cost,photo,points_per_game,removed,selected_by_percent,status,team,team_code,total_points,value_form,value_season,web_name,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,creativity_rank,threat_rank,ict_index_rank,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,position,goal_involvements,money_value,performance,next_match,next_3_FDRs,next_3_avg_FDRs,next_3,next_5_FDRs,next_5_avg_FDRs,next_5,FPL_ID,fbref_id,Understat_ID,transfermarkt,league_id,season_id,player_id,xg,np_goals,np_xg,xa,shots,key_passes,xg_chain,xg_buildup
True,False,DEF,0.0,0.0,0,0.0,35,loaned to Fenerbahçe,2025-01-03T19:30:08.711012Z,4.5,https://resources.premierleague.com/premierleague/photos/players/250x250/p165659.png,2.1,False,0.3,u,Aston Villa,7,21,0.0,4.7,Diego Carlos,2022-06-10,,False,p165659,828,0,0,2,15,0,0,0,1,0,0,1,69,150.6,9.2,54.0,21.5,8,0.64,0.08,0.72,11.88,0,0,0,0,0,0,0,276,421,273,334,,,,0.07,0.0,0.01,0.08,1.29,1.63,0.87,0.22,Defender,0.0,4.67,-0.72,"['Liverpool', 'Home']","[2, 5, 4, 3]",3.5,"['Ipswich', 'Liverpool', 'Chelsea', 'Crystal Palace']","[5, 2, 4, 3, 3]",3.4,"['Liverpool', 'Ipswich', 'Chelsea', 'Crystal Palace', 'Brentford']",35,b4a014b1,5712,329145,1,2024,5712,0.97,0,0.97,0.0,4,0,2.88,2.88
True,True,DEF,5.4,3.2,1,3.2,36,,,4.6,https://resources.premierleague.com/premierleague/photos/players/250x250/p101188.png,2.6,False,6.9,a,Aston Villa,7,63,0.7,13.7,Digne,2022-01-13,1993-07-20,False,p101188,1770,0,4,3,29,0,0,0,3,0,0,6,278,396.2,467.3,103.0,96.8,21,0.77,2.97,3.74,24.93,0,0,0,0,0,0,0,96,39,203,80,2.0,2.0,,0.04,0.0,0.15,0.19,1.27,1.47,1.07,0.15,Defender,4.0,13.7,0.26,"['Liverpool', 'Home']","[2, 5, 4, 3]",3.5,"['Ipswich', 'Liverpool', 'Chelsea', 'Crystal Palace']","[5, 2, 4, 3, 3]",3.4,"['Liverpool', 'Ipswich', 'Chelsea', 'Crystal Palace', 'Brentford']",36,1b84dbe1,1823,126664,1,2024,1823,0.75,0,0.75,5.71,12,29,6.49,5.03
True,True,DEF,5.0,3.0,1,3.0,44,,2024-11-21T08:30:08.587167Z,4.4,https://resources.premierleague.com/premierleague/photos/players/250x250/p199798.png,2.3,False,6.6,a,Aston Villa,7,50,0.7,11.4,Konsa,2019-07-11,1997-10-23,False,p199798,1901,1,0,2,34,0,0,0,0,0,0,5,236,331.4,81.6,81.0,49.4,22,0.59,0.41,1.0,26.78,0,0,0,0,0,0,0,135,259,226,213,,,,0.03,0.0,0.02,0.05,1.27,1.61,1.04,0.09,Defender,1.0,11.36,0.0,"['Liverpool', 'Home']","[2, 5, 4, 3]",3.5,"['Ipswich', 'Liverpool', 'Chelsea', 'Crystal Palace']","[5, 2, 4, 3, 3]",3.4,"['Liverpool', 'Ipswich', 'Chelsea', 'Crystal Palace', 'Brentford']",44,0313a347,7726,413403,1,2024,7726,0.66,1,0.66,0.18,5,3,7.1,6.69
True,True,DEF,0.0,0.5,1,0.5,45,,2024-11-14T10:00:07.838636Z,4.5,https://resources.premierleague.com/premierleague/photos/players/250x250/p441302.png,1.1,False,1.2,a,Aston Villa,7,19,0.1,4.2,Maatsen,2024-06-28,2002-03-10,False,p441302,445,0,1,0,9,0,0,0,2,0,0,0,67,110.2,190.6,92.0,39.4,3,0.17,1.43,1.6,6.48,0,0,0,0,0,0,0,321,147,213,247,,,,0.03,0.0,0.29,0.32,1.31,1.82,0.61,0.0,Defender,1.0,4.22,-0.6,"['Liverpool', 'Home']","[2, 5, 4, 3]",3.5,"['Ipswich', 'Liverpool', 'Chelsea', 'Crystal Palace']","[5, 2, 4, 3, 3]",3.4,"['Liverpool', 'Ipswich', 'Chelsea', 'Crystal Palace', 'Brentford']",45,cab9634e,11807,485585,1,2024,11807,0.23,0,0.23,1.88,6,14,4.12,3.35
True,True,DEF,2.3,0.0,0,2.8,49,Knee injury - 50% chance of playing,2025-01-27T01:00:08.420699Z,4.4,https://resources.premierleague.com/premierleague/photos/players/250x250/p149484.png,2.7,False,0.1,d,Aston Villa,7,16,0.6,3.6,Mings,2019-07-08,1993-03-13,False,p149484,467,0,0,1,5,0,0,0,1,0,0,3,71,104.2,26.7,20.0,15.1,5,0.21,0.06,0.27,4.93,0,0,0,0,0,0,0,326,356,351,364,,,,0.04,0.0,0.01,0.05,0.95,0.96,0.96,0.19,Defender,0.0,3.64,-0.27,"['Liverpool', 'Home']","[2, 5, 4, 3]",3.5,"['Ipswich', 'Liverpool', 'Chelsea', 'Crystal Palace']","[5, 2, 4, 3, 3]",3.4,"['Liverpool', 'Ipswich', 'Chelsea', 'Crystal Palace', 'Brentford']",49,8397a50c,1024,253677,1,2024,1024,0.25,0,0.25,0.16,3,2,1.58,1.42
True,False,DEF,0.0,0.2,1,0.2,50,Loaned to RB Leipzig,2025-02-03T18:30:15.024412Z,3.9,https://resources.premierleague.com/premierleague/photos/players/250x250/p578545.png,1.0,False,0.7,u,Aston Villa,7,5,0.1,1.3,Nedeljkovic,2024-01-22,,False,p578545,121,0,0,0,4,0,0,0,0,0,0,0,11,22.8,7.2,0.0,3.0,0,0.00,0.02,0.02,2.23,0,0,0,0,0,0,0,424,424,489,451,,,,0.0,0.0,0.01,0.01,1.66,2.98,0.0,0.0,Defender,0.0,1.28,-0.02,"['Liverpool', 'Home']","[2, 5, 4, 3]",3.5,"['Ipswich', 'Liverpool', 'Chelsea', 'Crystal Palace']","[5, 2, 4, 3, 3]",3.4,"['Liverpool', 'Ipswich', 'Chelsea', 'Crystal Palace', 'Brentford']",50,c70be9cf,12775,848682,1,2024,12775,0.0,0,0.0,0.0,0,0,0.19,0.19
True,True,DEF,0.0,0.0,0,0.0,52,Foot injury - Expected back 08 Mar,2024-12-30T23:30:08.107053Z,4.2,https://resources.premierleague.com/premierleague/photos/players/250x250/p244954.png,1.8,False,0.7,i,Aston Villa,7,32,0.0,7.6,Pau,2023-07-12,1997-01-16,False,p244954,1549,0,0,2,29,0,0,0,1,0,0,0,162,261.2,55.5,94.0,41.2,18,0.51,0.34,0.85,22.52,0,0,0,0,0,0,0,177,304,211,239,,,,0.03,0.0,0.02,0.05,1.31,1.68,1.05,0.12,Defender,0.0,7.62,-0.85,"['Liverpool', 'Home']","[2, 5, 4, 3]",3.5,"['Ipswich', 'Liverpool', 'Chelsea', 'Crystal Palace']","[5, 2, 4, 3, 3]",3.4,"['Liverpool', 'Ipswich', 'Chelsea', 'Crystal Palace', 'Brentford']",52,532e1e4f,6221,399776,1,2024,6221,0.39,0,0.39,0.02,8,1,5.74,5.72
True,True,DEF,-0.6,0.2,0,0.2,167,,2025-02-04T10:50:33.342940Z,4.2,https://resources.premierleague.com/premierleague/photos/players/250x250/p220362.png,3.7,False,0.4,a,Aston Villa,7,22,0.0,5.2,Disasi,2025-02-03,1998-03-11,False,p220362,363,1,0,2,3,0,0,0,1,0,0,0,84,86.4,34.1,36.0,15.7,4,0.29,0.09,0.38,6.29,0,0,0,0,0,0,0,356,336,300,362,,,,0.07,0.0,0.02,0.09,1.56,0.74,0.99,0.5,Defender,1.0,5.24,0.62,"['Liverpool', 'Home']","[2, 5, 4, 3]",3.5,"['Ipswich', 'Liverpool', 'Chelsea', 'Crystal Palace']","[5, 2, 4, 3, 3]",3.4,"['Liverpool', 'Ipswich', 'Chelsea', 'Crystal Palace', 'Brentford']",167,ad82197c,6885,386047,1,2024,6885,0.57,1,0.57,0.15,2,2,0.91,0.73
True,True,DEF,0.0,0.5,1,0.5,598,,,4.0,https://resources.premierleague.com/premierleague/photos/players/250x250/p515597.png,0.8,False,0.3,a,Aston Villa,7,4,0.1,1.0,Bogarde,2021-01-07,2004-01-05,False,p515597,348,0,0,0,7,0,0,0,2,0,0,0,16,55.6,31.4,11.0,9.8,4,0.04,0.12,0.16,4.45,0,0,0,0,0,0,0,381,339,377,393,,,,0.01,0.0,0.03,0.04,1.15,1.81,1.03,0.0,Defender,0.0,1.0,-0.16,"['Liverpool', 'Home']","[2, 5, 4, 3]",3.5,"['Ipswich', 'Liverpool', 'Chelsea', 'Crystal Palace']","[5, 2, 4, 3, 3]",3.4,"['Liverpool', 'Ipswich', 'Chelsea', 'Crystal Palace', 'Brentford']",598,bca5c4a7,10025,645686,1,2024,10025,0.07,0,0.07,0.18,1,2,1.81,1.57
True,False,DEF,0.0,0.0,0,0.0,59,Season-long loan to Valencia,2025-01-17T08:27:29.985824Z,4.3,https://resources.premierleague.com/premierleague/photos/players/250x250/p232980.png,2.7,False,0.1,u,Bournemouth,91,8,0.0,1.9,Aarons,2023-08-10,,False,p232980,84,0,0,1,0,0,0,0,0,0,0,0,31,13.2,3.2,0.0,1.7,1,0.00,0.01,0.01,0.28,0,0,0,0,0,0,0,452,442,586,475,,,,0.0,0.0,0.01,0.01,0.3,0.0,1.07,1.07,Defender,0.0,1.86,-0.01,"['Southampton', 'Away']","[2, 2, 3]",2.33,"['Southampton', 'Wolves', 'Brighton']","[2, 2, 3, 3, 2]",2.4,"['Southampton', 'Wolves', 'Brighton', 'Spurs', 'Brentford']",59,774cf58b,7688,471690,1,2024,7688,0.0,0,0.0,0.0,0,0,0.96,0.96
